Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Participants ^nns++++=Participants
( ^zz++++=(n=937,
n=937 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
females=72.3 ^nn+++??+=females=72.3%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
performing ^vbg+++xvbg+=performing
30 ^cd++++=30
min ^nnu++++=min/day
Mvpa ^np+++??+=MVPA
or ^cc++++=or
15 ^cd++++=15
min ^nnu++++=min/day
Vpa ^np+++??+=VPA
had ^vb+hv+vrb++=had
lower ^jjr+atrb+++=lower
odds ^nns++++=odds
of ^in++++=of
prevalent ^jj+atrb+++=prevalent
depressive ^nn+++??+=depressive
( ^zz++++=(ORMVPA=0.71,
ormvpa=0.71 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
95%ci=0.53 ^cd++++=95%CI=0.53-0.96;
- ^zz++++=EXTRAWORD
0.96 ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Orvpa=0.60 ^np+++??+=ORVPA=0.60,
, ^zz++++=EXTRAWORD
95%ci=0.43 ^cd++++=95%CI=0.43-0.82),
- ^zz++++=EXTRAWORD
0.82 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety
( ^zz++++=(ORMVPA=0.71,
ormvpa=0.71 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
95%ci=0.54 ^cd++++=95%CI=0.54-0.96;
- ^zz++++=EXTRAWORD
0.96 ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Orvpa=0.70 ^np+++??+=ORVPA=0.70,
, ^zz++++=EXTRAWORD
95%ci=0.510.96 ^cd++++=95%CI=0.510.96),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms
( ^zz++++=(ORMVPA=0.71,
ormvpa=0.71 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
95%ci=0.52 ^cd++++=95%CI=0.52-0.96;
- ^zz++++=EXTRAWORD
0.96 ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Orvpa=0.59 ^np+++??+=ORVPA=0.59,
, ^zz++++=EXTRAWORD
95%ci=0.41 ^cd++++=95%CI=0.41-0.83).
- ^zz++++=EXTRAWORD
0.83 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
People ^nns++++=People
spending ^vwbg+++xvbg+=spending
10 ^cd++++=10
h ^zz++++=h/day
sedentary ^nn+++??+=sedentary
were ^vbd+bed+vrb++=were
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
have ^vbi++vrb++=have
depressive ^jj+atrb++??+=depressive
symptoms ^nns++++=symptoms
( ^zz++++=(OR=1.39,95%CI=1.02-1.90).
or=1.39,95%ci=1.02 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
1.90 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
hour ^nn++++=hour
spent ^vbd+++xvbn+=spent
in ^in++++=in
Sb ^np+++??+=SB
corresponded ^vbd+++xvbn+=corresponded
to ^in++++=to
0.22 ^nn+++??+=0.22
( ^zz++++=(95%CI=0.10-0.33)
95%ci=0.10 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
0.33 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
points ^nns++++=points
and ^cc++++=and
0.16 ^nn+++??+=0.16
( ^zz++++=(95%CI=0.02-0.31)
95%ci=0.02 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
0.31 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
points ^nns++++=points
higher ^jjr++++=higher
on ^in++++=on
the ^ati++++=the
bdi ^np++++=BDI
and ^cc++++=and
bai ^np++++=BAI,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
