Indeterminate ^np+++??+=Indeterminate
Nonspecific ^np+++??+=Nonspecific
imaging ^nn+++??+=imaging
features ^nns++++=features
that ^tht+rel+subj++=that
do ^vb+do+aux++=do
not ^xnot++not++=not
match ^vb++++=match
the ^ati++++=the
typical ^jj+atrb+++=typical
features ^nns++++=features,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
ground ^nn++++=ground-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
opacities ^nns+++??+=opacities
with ^in++++=with
diffuse ^nn+++??+=diffuse
or ^cc++++=or
central ^jj+atrb+++=central
distribution ^nn++++=distribution,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
rounded ^jj++++=rounded
or ^cc+phrs+++=or
unilateral ^jj++++=unilateral
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
