Introduction ^nn++++=Introduction:
: ^zz++++=EXTRAWORD
Bcg ^np+++??+=BCG
vaccine ^nn++++=vaccine
( ^zz++++=(bacillus
bacillus ^nns+++??+=EXTRAWORD
Calmette ^np+++??+=Calmette
Gu ^np+++??+=Gu
rin ^nn+++??+=rin)
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed
against ^in++++=against
tuberculosis ^nn++++=tuberculosis
and ^cc++++=and
proven ^vb+++xvbn+=proven
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
other ^ap++++=other
purposes ^nns++++=purposes
by ^in++++=by
activating ^nn+++??+=activating
and ^cc++++=and/or
training ^nn++++=training
innate ^jj+atrb+++=innate
immunity ^nn++++=immunity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
protective ^jj+atrb+++=protective
effect ^nn++++=effect
against ^in++++=against
the ^ati++++=the
new ^jj+atrb+++=new
coronavirus ^nns+++??+=coronavirus
should ^md+nec+++=should
be ^vb+be+aux++=be
investigated ^vpsv++agls+xvbnx+=investigated
and ^cc+phrs+++=and
tested ^xvbn+++xvbn+=tested
while ^cs+sub+++=while
a ^at++++=a
specific ^jj+atrb+++=specific
vaccine ^nn++++=vaccine
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
available ^jj++++=available.
. ^zz++++=EXTRAWORD
