Urban ^jj+atrb+++=Urban
reservoirs ^nns++++=reservoirs
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
in ^in++++=in
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
vulnerable ^jj++++=vulnerable
to ^in++++=to
human ^jj+atrb+++=human
impacts ^nns+++??+=impacts
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
integrate ^vb++++=integrate
and ^cc+phrs+++=and
accumulate ^vb++++=accumulate
material ^nn++++=material
and ^cc++++=and
pollutants ^nns+++??+=pollutants
from ^in++++=from
the ^ati++++=the
drainage ^nn++++=drainage
basin ^nn++++=basin
and ^cc++++=and
receive ^vb++++=receive
discharges ^nns+++??+=discharges
of ^in++++=of
nutrients ^nns++++=nutrients
leading ^vwbg+++xvbg+=leading
to ^in++++=to
water ^nn++++=water
quality ^nn++++=quality
deterioration ^nn++++=deterioration
( ^zz++++=(Branco
branco ^nn+++??+=EXTRAWORD
& ^zz++++=&
Senna ^np+++??+=Senna
1996 ^cd+date+++=1996,
, ^zz++++=EXTRAWORD
Figueredo ^np+++??+=Figueredo
& ^zz++++=&
Giani ^np+++??+=Giani
2001 ^cd++++=2001,
, ^zz++++=EXTRAWORD
Dong ^np+++??+=Dong
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008,
, ^zz++++=EXTRAWORD
Fontana ^np+++??+=Fontana
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
Zorzal ^np+++??+=Zorzal-Almeida
- ^zz++++=EXTRAWORD
almeida ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
shallow ^jj+atrb+++=shallow
systems ^nns++++=systems
are ^vb+ber+vrb++=are
usually ^rb+down+++=usually
more ^rbr++++=more
susceptible ^jj++++=susceptible
to ^in++++=to
eutrophication ^jj+++??+=eutrophication
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
water ^nn++++=water-sediment
- ^zz++++=EXTRAWORD
sediment ^nn+++??+=EXTRAWORD
interaction ^nn++++=interaction
and ^cc++++=and
feedback ^nn+++??+=feedback
mechanisms ^nns++++=mechanisms
that ^tht+rel+subj++=that
intensify ^vb++++=intensify
the ^ati++++=the
system ^nn++++=system
resistance ^nn++++=resistance
to ^in++++=to
restoration ^nn++++=restoration
efforts ^nns++++=efforts
( ^zz++++=(S
s ^zz++++=EXTRAWORD
ndegaard ^nn+++??+=ndegaard
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003,
, ^zz++++=EXTRAWORD
bicudo ^np++++=Bicudo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
