When ^wrb+who+++=When
comparing ^jj+atrb++xvbg+=comparing
groups ^nns++++=groups
1 ^zz++++=1
with ^in++++=with
2a ^cd++++=2a
and ^cc++++=and
1 ^zz++++=1
with ^in++++=with
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
that ^tht+vcmp+++=that
the ^ati++++=the
incidence ^nn++++=incidence
ratio ^nn++++=ratio
is ^vbz+bez+vrb++=is
around ^rp++++=around
eight ^cd++++=eight
and ^cc++++=and
the ^ati++++=the
mortality ^nn++++=mortality
ratio ^nn++++=ratio
23.24 ^cd++++=23.24
and ^cc++++=and
31.18 ^cd++++=31.18
times ^nns++++=times,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
