Various ^jj++++=Various
other ^ap++++=other
publications ^nns++++=publications
followed ^vbd+vprv++xvbn+=followed
without ^in+strn+++=without,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
any ^dti++++=any
organizing ^xvbg+++xvbg+=organizing
plan ^vb++++=plan.
. ^zz++++=EXTRAWORD
In ^in++++=In
1990 ^cd+date+++=1990
the ^ati++++=the
Flora ^np++++=Flora
Criptog ^np+++??+=Criptog
mica ^nn++++=mica
do ^vb+do+vrb++=do
Parque ^np+++??+=Parque
Estadual ^np+++??+=Estadual
das ^&fw++++=das
Fontes ^np+++??+=Fontes
do ^vb+do+vrb++=do
Ipiranga ^np+++??+=Ipiranga
( ^zz++++=(Ipiranga
ipiranga ^nn+++??+=EXTRAWORD
Sources ^nns++++=Sources
State ^nn++++=State
Park ^npl++++=Park
Cryptogamic ^np+++??+=Cryptogamic
Flora ^np++++=Flora)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
created ^vpsv++agls+xvbnx+=created
divided ^vbd+++xvbn+=divided
into ^in++++=into
three ^cd++++=three
sections ^nns++++=sections:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
algae ^nns++++=algae,
, ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
fungi ^nns++++=fungi
and ^cc++++=and
lichens ^nns++++=lichens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
bryophytes ^nns+++??+=bryophytes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
information ^nn++++=information
summarizes ^vbz++++=summarizes
the ^ati++++=the
results ^nns++++=results
from ^in++++=from
the ^ati++++=the
28 ^cd++++=28
years ^nns++++=years
devoted ^vbd+++xvbn+=devoted
to ^in++++=to
the ^ati++++=the
survey ^nn++++=survey
of ^in++++=of
the ^ati++++=the
pefi ^np++++=PEFI
algal ^nn++++=algal
flora ^np++++=flora.
. ^zz++++=EXTRAWORD
