Sodium ^nn++++=Sodium
hypochlorite ^nn++++=hypochlorite
2.5 ^cd++++=2.5%:
% ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
Immersion ^nn++++=Immersion
in ^in++++=in
10 ^cd++++=10
ml ^nnu++++=mL
of ^in++++=of
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
for ^in++++=for
5 ^zz++++=5
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Effective ^jj+atrb+++=Effective
control ^nn++++=control
of ^in++++=of
C ^zz++++=C.
. ^zz++++=EXTRAWORD
albicans ^nns+++??+=albicans
was ^vbd+bedz+aux++=was
obtained ^vpsv++agls+xvbn+=obtained,
, ^zz++++=EXTRAWORD
reducing ^vbg+++xvbg+=reducing
contamination ^nn++++=contamination
by ^in++++=by
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
