Surgical ^jj+atrb+++=Surgical
mask ^nn++++=mask
use ^nn++++=use
by ^in++++=by
patients ^nns++++=patients
reduces ^vbz++++=reduces
aerosol ^jj+atrb++??+=aerosol
transmission ^nn++++=transmission,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
in ^in++++=in
contact ^nn++++=contact
with ^in++++=with
suspected ^vbd+vprv++xvbn+=suspected
people ^nns++++=people
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
and ^cc++++=and
with ^in++++=with
mild ^jj+atrb+++=mild
respiratory ^jj+atrb+++=respiratory
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
since ^in++++=since
arrival ^nn++++=arrival
at ^in++++=at
the ^ati++++=the
health ^nn++++=health
service ^nn++++=service,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
isolation ^nn++++=isolation
site ^nn++++=site
and ^cc++++=and
during ^in++++=during
circulation ^nn++++=circulation
within ^in++++=within
the ^ati++++=the
service ^nn++++=service
( ^zz++++=(transport
transport ^nn++++=EXTRAWORD
from ^in++++=from
one ^cd1++++=one
area ^nn++++=area/sector
to ^in++++=to
another ^dt++++=another),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
avoiding ^vbg+++xvbg+=avoiding
touching ^jj+++xvbg+=touching
the ^ati++++=the
mask ^nn++++=mask,
, ^zz++++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
mouth ^nn++++=mouth
and ^cc++++=and
face ^nn++++=face
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
possible.22 ^nn++++=possible.22-23
- ^zz++++=EXTRAWORD
23 ^nn++++=EXTRAWORD
