According ^in+cmpx+++=According
to ^in++++=to
Sim ^np+++??+=Sim
o ^zz++++=o
& ^zz++++=&
Scatena ^np+++??+=Scatena
( ^zz++++=(2004),
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
bracts ^nns+++??+=bracts
of ^in++++=of
the ^ati++++=the
material ^nn++++=material
collected ^vwbn+++xvbn+=collected
from ^in++++=from
the ^ati++++=the
N ^zz++++=N
cleo ^nn+++??+=cleo
Picinguaba ^np+++??+=Picinguaba
and ^cc++++=and
the ^ati++++=the
have ^vb+hv+vrb++=have
red ^jj++++=red-orange
- ^zz++++=EXTRAWORD
orange ^np++++=EXTRAWORD
coloration ^nn+nom+++=coloration
both ^abx++++=both
internally ^rb++++=internally
and ^cc+phrs+++=and
externally ^rb+cnj+++=externally,
, ^zz++++=EXTRAWORD
differentiating ^vbg+++xvbg+=differentiating
from ^in++++=from
the ^ati++++=the
material ^nn++++=material
of ^in++++=of
this ^dt+dem+++=this
work ^nn++++=work
even ^cs+sub+++=even
though ^cs+sub+++=though
both ^abx++++=both
share ^nn++++=share
the ^ati++++=the
same ^ap++++=same
origin ^nn++++=origin.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
records ^nns++++=records
lead ^nn++++=lead
us ^pp1o+pp1+++=us
to ^to++++=to
consider ^nn+nom+++=consider
that ^tht+vcmp+++=that
the ^ati++++=the
species ^nn++++=species
must ^md+nec+++=must
present ^vb++++=present
bicolor ^nn++++=bicolor
and ^cc++++=and
tricolor ^nn++++=tricolor
bracts ^nns++++=bracts,
, ^zz++++=EXTRAWORD
the ^ati++++=the
last ^ap++++=last
one ^cd1++++=one
less ^rbr++++=less
frequently ^rb++++=frequently.
. ^zz++++=EXTRAWORD
