This ^dt+dem+++=This
article ^nn++++=article
applies ^vbz++++=applies
Bakhtinian ^np+++??+=Bakhtinian
dialogism ^nn+nom+++=dialogism
and ^cc++++=and
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
centripetal ^jj++++=centripetal-centrifugal
- ^zz++++=EXTRAWORD
centrifugal ^jj+atrb+++=EXTRAWORD
struggle ^vb++++=struggle
to ^in+vcmp+++=to
critical ^jj+atrb+++=critical
discourse ^nn++++=discourse
studies ^nns++++=studies
to ^to++++=to
analyse ^vbi++++=analyse
how ^wrb+who+++=how
powerful ^jj+atrb+++=powerful
and ^cc+phrs+++=and
marginalised ^jj+atrb++xvbn+=marginalised
discourses ^nns++++=discourses
are ^vb+ber+aux++=are
brought ^vpsv++agls+xvbnx+=brought
into ^in++++=into
competition ^nn+nom+++=competition
in ^in++++=in
political ^jj+atrb+++=political
language ^nn+nom+++=language
to ^to++++=to
justify ^vbi++++=justify
paradigm ^nn++++=paradigm
changes ^nns++++=changes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
analyse ^vb++++=analyse
German ^jj+atrb+++=German
chancellor ^npt++++=chancellor
Olaf ^np+++??+=Olaf
Scholz ^np+++??+=Scholz
s ^zz++++=s
Zeitenwende ^np+++??+=Zeitenwende
( ^zz++++=(
watershed ^nn++++=watershed
) ^zz++++=)
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
as ^in++++=as
a ^at++++=a
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
Russian ^jj+atrb+++=Russian
invasion ^nn++++=invasion
of ^in++++=of
Ukraine ^np++++=Ukraine,
, ^zz++++=EXTRAWORD
announcing ^vbg+++xvbg+=announcing
a ^at++++=a
radical ^jj+atrb+++=radical
armament ^nn+nom+++=armament
programme ^nn++++=programme
and ^cc++++=and
change ^nn++++=change
in ^in++++=in
foreign ^jj+atrb+++=foreign
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
a ^at++++=a
paradigm ^nn++++=paradigm
shift ^nn++++=shift
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
been ^vprf+ben+vrb+xvbnx+=been
unthinkable ^jj++++=unthinkable
in ^in++++=in
German ^jj+atrb+++=German
politics ^nn++++=politics.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
a ^at++++=a
qualitative ^jj+atrb+++=qualitative
analysis ^nn++++=analysis
using ^vwbg+++xvbg+=using
the ^ati++++=the
Appraisal ^nn+nom+++=Appraisal
Theory ^nn++++=Theory
strategies ^nns+++??+=strategies
Attitude ^nn++++=Attitude
and ^cc++++=and
Engagement ^nn+nom+++=Engagement,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
identify ^vb++++=identify
how ^wrb+who+++=how
Scholz ^np+++??+=Scholz
aligns ^vbz+++??+=aligns
himself ^ppl+pp3+++=himself
with ^in++++=with
particular ^jj+atrb+++=particular
powerful ^jj+atrb+++=powerful
discourses ^nns++++=discourses,
, ^zz++++=EXTRAWORD
centring ^jj+++xvbg+=centring
some ^dti++++=some
powerful ^jj+atrb+++=powerful
ones ^cd1s++++=ones
and ^cc++++=and
marginalising ^nvbg+++xvbg+=marginalising
others ^aps++++=others,
, ^zz++++=EXTRAWORD
constructing ^vbg+++xvbg+=constructing
an ^at++++=an
existential ^jj+atrb+++=existential
threat ^nn++++=threat
for ^in++++=for
Germany ^np++++=Germany,
, ^zz++++=EXTRAWORD
the ^ati++++=the
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^jj+atrb++xvbn+=EXTRAWORD
watershed ^nn++++=watershed,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
situation ^nn+nom+++=situation
which ^whp+rel+subj++=which
casts ^vbz+++??+=casts
his ^pp$+pp3+++=his
policies ^nns++++=policies
of ^in++++=of
German ^jj+atrb+++=German
armament ^nn+nom+++=armament
as ^in++++=as
without ^in++++=without
alternative ^nn++++=alternative.
. ^zz++++=EXTRAWORD
The ^ati++++=The
paper ^nn++++=paper
demonstrates ^nns+nom+++=demonstrates
the ^ati++++=the
strength ^nn++++=strength
of ^in++++=of
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
dialogically ^rb++++=dialogically
contractive ^jj+atrb+++=contractive
and ^cc+phrs+++=and
expansive ^jj+atrb+++=expansive
strategies ^nns++++=strategies
in ^in++++=in
critical ^jj+atrb+++=critical
discourse ^nn++++=discourse
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
