Considering ^vbg+++xvbg+=Considering
the ^ati++++=the
aggregate ^nn+nom+++=aggregate
of ^in++++=of
representatives ^nns++++=representatives
who ^whp+rel+subj++=who
cited ^vwbn+++xvbn+=cited
mayors ^npts++++=mayors
and ^cc++++=and/or
city ^nn++++=city
councilors ^nns++++=councilors
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
supports ^nns++++=supports
for ^in++++=for
their ^pp$+pp3+++=their
election ^nn+nom+++=election,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
some ^dti++++=some
variation ^nn+nom+++=variation
between ^in++++=between
states ^np++++=states
( ^zz++++=(Appendix
appendix ^nn++++=EXTRAWORD
B)10 ^np+++??+=B)10.
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
waves ^nns++++=waves,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
most ^ql+emph+++=most
cited ^jj+++xvbn+=cited
in ^in++++=in
Bahia ^np+++??+=Bahia,
, ^zz++++=EXTRAWORD
Pernambuco ^np+++??+=Pernambuco,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tocantins ^np+++??+=Tocantins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
least ^rb++++=least
cited ^vwbn+++xvbn+=cited
in ^in++++=in
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
difference ^nn+nom+++=difference
in ^in++++=in
their ^pp$+pp3+++=their
size ^nn++++=size,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pattern ^nn++++=pattern
s ^zz++++=s
stability ^nn+nom+++=stability
between ^in++++=between
them ^pp3o+pp3+++=them
is ^vbz+bez+aux++=is
striking ^vbg+++xvbgx+=striking.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
parties ^nns++++=parties
( ^zz++++=(those
those ^dt+dem+++=EXTRAWORD
with ^in++++=with
10 ^cd++++=10
or ^cc++++=or
more ^ql++++=more
members ^nns+nom+++=members
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
interviewed ^vpsv++agls+xvbnx+=interviewed),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
waves ^nns++++=waves
the ^ati++++=the
Pt ^nnu++++=PT
has ^vbz+hvz+vrb++=has
a ^at++++=a
lower ^nn++++=lower
than ^in++++=than
average ^jj+atrb+++=average
proportion ^nn+nom+++=proportion
of ^in++++=of
mentions ^nn++++=mentions
to ^in++++=to
mayors ^npts++++=mayors
and ^cc++++=and/or
councilors ^nns++++=councilors,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Dem ^&fw++++=DEM,
, ^zz++++=EXTRAWORD
Pmdb ^np+++??+=PMDB,
, ^zz++++=EXTRAWORD
Pp ^nns++++=PP
and ^cc++++=and
Psdb ^np+++??+=PSDB
have ^vb+hv+vrb++=have
a ^at++++=a
higher ^nn++++=higher
than ^in++++=than
average ^jj+atrb+++=average
proportion ^nn+nom+++=proportion
( ^zz++++=(Appendix
appendix ^nn++++=EXTRAWORD
b ^zz++++=B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
