On ^in++++=On
July ^nr++++=July
31 ^cd++++=31,
, ^zz++++=EXTRAWORD
1936 ^cd+date+++=1936,
, ^zz++++=EXTRAWORD
the ^ati++++=the
strike ^nn++++=strike
law ^nn++++=law
was ^vbd+bedz+aux++=was
published ^vpsv++agls+xvbnx+=published,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
contemplated ^vprf+++xvbn+=contemplated
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
stoppage ^nn+nom+++=stoppage
by ^in++++=by
workers ^nns+nom+++=workers
after ^in++++=after
all ^abn++++=all
means ^nns++++=means
of ^in++++=of
institutional ^jj+atrb+++=institutional
conflict ^nn++++=conflict
resolution ^nn+nom+++=resolution
had ^vb+hv+aux++=had
been ^vprf+ben+vrb+xvbn+=been
exhausted ^jj+pred+++=exhausted,
, ^zz++++=EXTRAWORD
