Ames ^np+++??+=Ames,
, ^zz++++=EXTRAWORD
Baker ^np++++=Baker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Renn ^np+++??+=Renn
( ^zz++++=(2008)
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
present ^vb++++=present
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
voters ^nns++++=voters,
, ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
good ^jj+atrb+++=good
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
choose ^vb++++=choose
candidates ^nns+nom+++=candidates
for ^in++++=for
the ^ati++++=the
national ^jj+atrb+++=national
legislature ^nn++++=legislature
with ^in++++=with
local ^jj+atrb+++=local
concerns ^nns++++=concerns
in ^in++++=in
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prefer ^vb+vprv+++=prefer
those ^dt+dem+++=those
with ^in++++=with
a ^at++++=a
recognized ^jj+atrb++xvbn+=recognized
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
allocate ^nn+nom+++=allocate
resources ^nns++++=resources
to ^in++++=to
their ^pp$+pp3+++=their
localities ^nns+nom+++=localities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
electoral ^jj+atrb+++=electoral
results ^nns++++=results
of ^in++++=of
this ^dt+dem+++=this
mutual ^jj+atrb+++=mutual
support ^nn++++=support
were ^vbd+bed+aux++=were
also ^rb++splt++=also
designated ^vpsv++by+xvbnx+=designated
by ^in++++=by
ames ^np++++=Ames
( ^zz++++=(1994)
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^ql++++=as
reverse ^nn++++=reverse
coattails ^nns++++=coattails
effects ^nns++++=effects
. ^zz++++=.
