Meanwhile ^rb+cnj+++=Meanwhile,
, ^zz++++=EXTRAWORD
vaccination ^nn+nom+++=vaccination
was ^vbd+bedz+vrb++=was
a ^at++++=a
political ^jj+atrb+++=political
opportunity ^nn+nom+++=opportunity
for ^in++++=for
Doria ^np++++=Doria.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
promised ^vbd+vpub++xvbnx+=promised
to ^to+vcmp+++=to
deliver ^vbi++++=deliver
vaccines ^nns++++=vaccines
not ^xnot++not++=not
only ^rb+down+++=only
to ^in++++=to
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
but ^cc++++=but
also ^rb++++=also
to ^in++++=to
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Vaccines ^nns++++=Vaccines
had ^vb+hv+vrb++=had
a ^at++++=a
greater ^nn++++=greater
appeal ^vb++++=appeal
in ^in++++=in
January ^nr+nom+++=January
2021 ^cd++++=2021
when ^wrb+who+++=when
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
Brazilians ^np+++??+=Brazilians
ignoring ^vwbg+++xvbg+=ignoring
social ^jj++++=social
distancing ^jj+++xvbg+=distancing
during ^in++++=during
the ^ati++++=the
New ^jj+atrb+++=New
Year ^nn++++=Year
celebrations ^nns+nom+++=celebrations
became ^vbd+++xvbn+=became
clear ^jj++++=clear.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
variant ^nn+nom+++=variant
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
hit ^nn+++xvbn+=hit
Manaus ^np+++??+=Manaus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
biggest ^jjt+atrb+++=biggest
city ^nn++++=city
in ^in++++=in
the ^ati++++=the
Amazon ^np+++??+=Amazon
region ^nn++++=region
and ^cc+cls+++=and
where ^wrb+who+++=where
approximately ^rb+down+++=approximately
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
of ^in++++=of
residents ^nns++++=residents
live ^vb++++=live
without ^in++++=without
piped ^jj+atrb++xvbn+=piped
water ^nn++++=water
and ^cc++++=and
suffer ^vb++++=suffer
from ^in++++=from
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
hospitals ^nns+nom+++=hospitals
and ^cc++++=and
medical ^jj+atrb+++=medical
supplies ^nns++++=supplies.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
for ^in++++=for
supporters ^nns+nom+++=supporters
of ^in++++=of
herd ^nn++++=herd
immunity ^nn+nom+++=immunity
the ^ati++++=the
outbreak ^nn++++=outbreak
was ^vbd+bedz+vrb++=was
a ^at++++=a
serious ^jj+atrb+++=serious
cause ^nn++++=cause
for ^in++++=for
concern ^nn++++=concern.
. ^zz++++=EXTRAWORD
Epidemiologists ^nns+nom++??+=Epidemiologists
estimated ^vbd+vprv++xvbn+=estimated
that ^tht+vcmp+++=that
the ^ati++++=the
infection ^nn+nom+++=infection
rate ^nn++++=rate
in ^in++++=in
Manaus ^np+++??+=Manaus
in ^in++++=in
the ^ati++++=the
wake ^nn++++=wake
of ^in++++=of
the ^ati++++=the
city ^npl++++=city
s ^zz++++=s
first ^od++++=first
outbreak ^nn++++=outbreak
in ^in++++=in
March ^nn++++=March
2020 ^cd++++=2020
was ^vbd+bedz+vrb++=was
as ^ql++++=as
high ^np++++=high
as ^ql++++=as
76 ^cd++++=76%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
assumed ^vbd+vprv+tht0+xvbnx+=assumed
prior ^jj+atrb+++=prior
infection ^nn+nom+++=infection
led ^vbd+++xvbn+=led
to ^in++++=to
immunity ^nn+nom+++=immunity,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
concluded ^vbd+vprv++xvbnx+=concluded
that ^tht+vcmp+++=that
a ^at++++=a
sudden ^jj+atrb+++=sudden
explosion ^nn++++=explosion
was ^vbd+bedz+vrb++=was
unlikely.23 ^nn+++??+=unlikely.23
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
was ^vbd+bedz+vrb++=was
the ^ati++++=the
new ^jj+atrb+++=new
variant ^nn+nom+++=variant
of ^in++++=of
the ^ati++++=the
virus ^nn++++=virus
more ^rbr++++=more
contagious ^jj++++=contagious,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
also ^rb++++=also
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
infect ^vb++++=infect
people ^nns++++=people
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
already ^rb++splt++=already
recovered ^vprf+++xvbnx+=recovered
from ^in++++=from
other ^ap++++=other
variants ^nns+nom+++=variants.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
February ^nr+nom+++=February
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
cases ^nns++++=cases
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
variant ^nn+nom+++=variant
had ^vb+hv+aux++=had
been ^vbd+ben+aux++=been
reported ^vbn+vpub+++=reported
in ^in++++=in
21 ^cd++++=21
of ^in++++=of
26 ^cd++++=26
brazilian ^jj+atrb+++=Brazilian
states ^nns++++=states.
. ^zz++++=EXTRAWORD
