Having ^vbg+++xvbg+=Having
converted ^jj+++xvbn+=converted
the ^ati++++=the
Youtube ^np+++??+=YouTube
text ^nn++++=text
into ^in++++=into
an ^at++++=an
interpretable ^jj+atrb+++=interpretable
manuscript ^nn++++=manuscript,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analyst ^nn++++=analyst
employed ^vbd+++xvbn+=employed
the ^ati++++=the
snipping ^jj+atrb++xvbg+=snipping
tool ^nn++++=tool
of ^in++++=of
the ^ati++++=the
computer ^nn+nom+++=computer
to ^to++++=to
cut ^vbi++++=cut
the ^ati++++=the
configured ^jj+atrb++xvbn+=configured
script ^nn++++=script
into ^in++++=into
about ^in++++=about
35 ^cd++++=35
shots ^nns++++=shots,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
into ^in++++=into
four ^cd++++=four
different ^jj++++=different
high ^jj++++=high-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
mediated ^vbd+++xvbn+=mediated
actions ^nns+nom+++=actions
( ^zz++++=(HLMA)
hlma ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Baldry
baldry ^nn++++=EXTRAWORD
& ^zz++++=&
Thibault ^np+++??+=Thibault,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
Norris ^np+++??+=Norris,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Hlma ^np+++??+=HLMA
contains ^vbz++++=contains
some ^dti++++=some
low ^jj++++=low-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
mediated ^vbd+++xvbn+=mediated
actions ^nns+nom+++=actions
( ^zz++++=(LLMA)
llma ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
various ^jj++++=various
meaning ^jj+++xvbg+=meaning-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
modes ^nns++++=modes.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
shot ^nn+++xvbn+=shot,
, ^zz++++=EXTRAWORD
labeled ^j+++xvbn+=labeled
as ^ql++++=as
O ^zz++++=O-BT
- ^zz++++=EXTRAWORD
bt ^npt++++=EXTRAWORD
( ^zz++++=(Oral-B
oral ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
Transcript ^np+++??+=Transcript),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reveals ^nns+nom+++=reveals
the ^ati++++=the
transcript ^nn++++=transcript
s ^zz++++=s
operational ^jj+atrb+++=operational
period ^nn++++=period
( ^zz++++=((e.g.
( ^zz++++=EXTRAWORD
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
O ^zz++++=O-BT1
- ^zz++++=EXTRAWORD
bt1 ^nn+++??+=EXTRAWORD
( ^zz++++=(00:00
00:00 ^nn+++??+=EXTRAWORD
00:01)) ^nn+++??+=00:01))),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
encoded ^vbd+++xvbn+=encoded
at ^rb++++=at
the ^ati++++=the
left ^vbd+++xvbn+=left
bottom ^jjb+atrb+++=bottom
side ^nn++++=side.
. ^zz++++=EXTRAWORD
The ^ati++++=The
complexity ^nn+nom+++=complexity
of ^in++++=of
the ^ati++++=the
kinesics ^nns++++=kinesics
actions ^nns+nom+++=actions
stimulated ^vbd+++xvbn+=stimulated
the ^ati++++=the
production ^nn+nom+++=production
of ^in++++=of
many ^ap++++=many
shots ^nns++++=shots
publicized ^j++++=publicized
in ^in++++=in
the ^ati++++=the
discussion ^nn++++=discussion
domains ^nns++++=domains.
. ^zz++++=EXTRAWORD
As ^ql++++=As
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
Table ^nn++++=Table
1 ^zz++++=1
( ^zz++++=(showing
showing ^vbg+vprv++xvbg+=EXTRAWORD
Hlma ^np+++??+=HLMA
shots ^nns++++=shots
and ^cc++++=and
time ^nn++++=time)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Table ^nn++++=Table
1 ^zz++++=1
( ^zz++++=(indicating
indicating ^vbg+vprv++xvbg+=EXTRAWORD
the ^ati++++=the
conversion ^nn++++=conversion
of ^in++++=of
spoken ^jj+atrb++xvbn+=spoken
modes ^nns++++=modes
into ^in++++=into
written ^xvbn+++xvbn+=written
structures ^nns++++=structures),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
presents ^vbz++++=presents
the ^ati++++=the
shots ^nns++++=shots
and ^cc++++=and
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
spoken ^jj+atrb++xvbn+=spoken
modes ^nns++++=modes
side ^nn++++=side
by ^in++++=by
side ^nn++++=side
within ^in++++=within
the ^ati++++=the
framework ^nn++++=framework
of ^in++++=of
the ^ati++++=the
discussion ^nn++++=discussion
section ^nn+nom+++=section.
. ^zz++++=EXTRAWORD
