Special ^jj+atrb+++=Special
Secretariat ^nn++++=Secretariat
for ^in++++=for
Indigenous ^jj+atrb+++=Indigenous
Health ^nn++++=Health
( ^zz++++=(SESAI)
sesai ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health
federal ^jj+atrb+++=federal
body ^nn++++=body
responsible ^jj++++=responsible
for ^in++++=for
coordinating ^jj++++=coordinating
and ^cc+phrs+++=and
executing ^jj+++xvbg+=executing
the ^ati++++=the
national ^jj+atrb+++=National
policy ^nn++++=Policy
for ^in++++=for
indigenous ^jj+atrb+++=Indigenous
healthcare ^np++++=Healthcare
in ^in++++=in
the ^ati++++=the
sus ^np++++=SUS.
. ^zz++++=EXTRAWORD
