Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
already ^rb++splt++=already
pointed ^vprf+++xvbnx+=pointed
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
tend ^vb++++=tend
to ^to+vcmp+++=to
rely ^vbi++++=rely
on ^in++++=on
the ^ati++++=the
assumptions ^nns+nom+++=assumptions
of ^in++++=of
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
models ^nns++++=models.
. ^zz++++=EXTRAWORD
In ^to++++=In
order ^vb++++=order
to ^to+vcmp+++=to
apply ^vb++++=apply
this ^dt+dem+++=this
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
should ^md+nec+++=should
clearly ^rb++splt++=clearly
identify ^vb++++=identify
who ^whp+who+++=who
performs ^vbz++++=performs
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
principal ^jjb++++=principal
and ^cc++++=and
who ^whp+rel+subj++=who
performs ^vbz++++=performs
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
agent ^nn++++=agent
( ^zz++++=(Gailmard,
gailmard ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
analysis ^nn++++=analysis
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
state ^nn++++=state
representatives ^nns++++=representatives
and ^cc++++=and
brokers ^nns+nom+++=brokers
do ^vb+do+aux++=do
not ^xnot++not++=not
occupy ^vb++++=occupy
static ^jj+atrb+++=static
positions ^nns+nom+++=positions
and ^cc++++=and
move ^vb++++=move
around ^rp++++=around
in ^in++++=in
time ^nn++++=time
and ^cc++++=and
space ^nn++++=space,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
a ^at++++=a
dual ^jj+atrb+++=dual
role ^nn++++=role.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
boss ^nn++++=boss,
, ^zz++++=EXTRAWORD
a ^at++++=a
legislator ^nn++++=legislator
is ^vbz+bez+vrb++=is
the ^ati++++=the
leading ^jj+atrb++xvbg+=leading
actor ^nn++++=actor
who ^whp+rel+subj++=who
expects ^vbz++++=expects
local ^jj+atrb+++=local
actors ^nns++++=actors
to ^in++++=to
act ^nn++++=act
in ^in++++=in
favor ^in"++++=favor
of ^in"++++=of
her ^pp$+pp3+++=her
electoral ^jj+atrb+++=electoral
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
To ^to++++=To
encourage ^nn+nom+++=encourage
brokers ^nns+nom+++=brokers,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
provides ^vbz+vsua+++=provides
incentives ^nns++++=incentives,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
assigning ^jj+atrb++xvbg+=assigning
discretionary ^nn+nom+++=discretionary
budget ^nn++++=budget
resources ^nns++++=resources
to ^in++++=to
municipalities ^nns+nom+++=municipalities
and ^cc++++=and
fulfilling ^vbg+nom++xvbg+=fulfilling
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns++++=councilors
requests ^nns++++=requests.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
subject ^nn++++=subject
to ^in++++=to
the ^ati++++=the
risks ^nns++++=risks
inherent ^jj++++=inherent
to ^in++++=to
this ^dt+dem+++=this
relationship ^nn+nom+++=relationship.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns++++=councilors
are ^vb+ber+vrb++=are
also ^rb++++=also
politicians ^nns++++=politicians
with ^in++++=with
elective ^jj+atrb+++=elective
offices ^nns++++=offices,
, ^zz++++=EXTRAWORD
a ^at++++=a
shift ^nn++++=shift
in ^in++++=in
time ^nn++++=time
converts ^vbz++++=converts
legislators ^nns++++=legislators
from ^in++++=from
principals ^nns+nom+++=principals
to ^in++++=to
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
to ^to+jcmp+++=to
mobilize ^vbi++++=mobilize
voters ^nns++++=voters
in ^in++++=in
municipal ^jj+atrb+++=municipal
elections ^nns+nom+++=elections.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
distinctive ^jj+atrb+++=distinctive
aspect ^nn++++=aspect
of ^in++++=of
this ^dt+dem+++=this
relationship ^nn+nom+++=relationship,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
captured ^vbd+++xvbn+=captured
in ^in++++=in
most ^ql+emph+++=most
analyses ^nns++++=analyses,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
representatives ^nns++++=representatives
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
mobilize ^vb++++=mobilize
voters ^nns++++=voters
to ^to++++=to
ensure ^vbi+vprv+++=ensure
the ^ati++++=the
political ^jj+atrb+++=political
survival ^nn+nom+++=survival
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+obj++=who
once ^cs+tm+++=once
acted ^vprf+++xvbn+=acted
as ^ql++++=as
their ^pp$+pp3+++=their
brokers ^nns+nom+++=brokers.
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
principal ^jjb++++=principal
or ^cc++++=or
agent ^nn++++=agent
is ^vbz+bez+aux++=is
defined ^vpsv++by+xvbnx+=defined
by ^in++++=by
the ^ati++++=the
function ^nn++++=function
exercised ^vbd+++xvbn+=exercised
in ^in++++=in
this ^dt+dem+++=this
relationship ^nn+nom+++=relationship,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
varies ^vbz++++=varies
in ^in++++=in
time ^nn++++=time
and ^cc++++=and
space ^nn++++=space
and ^cc++++=and
cannot ^md+pos+not++=cannot
necessarily ^rb++++=necessarily
be ^vb+be+aux++=be
inferred ^vpsv++by+xvbnx+=inferred
by ^in++++=by
the ^ati++++=the
position ^nn+nom+++=position
occupied ^vbd+++xvbn+=occupied
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
s ^zz++++=s
elected ^vpsv++agls+xvbn+=elected-offices
- ^zz++++=EXTRAWORD
offices ^nns++++=EXTRAWORD
structure ^nn++++=structure.
. ^zz++++=EXTRAWORD
