Despite ^in++++=Despite
overcoming ^xvbg+++xvbg+=overcoming
a ^at++++=a
strict ^jj+atrb+++=strict
paradigm ^nn++++=paradigm
of ^in++++=of
physical ^jj+atrb+++=physical
fitness ^nns+nom+++=fitness,
, ^zz++++=EXTRAWORD
Pe ^np+++??+=PE
is ^vbz+bez+aux++=is
still ^rb++splt++=still
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
a ^at++++=a
curricular ^nn+++??+=curricular
component ^nn++++=component
of ^in++++=of
basic ^jj+atrb+++=basic
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
Concerning ^in++++=Concerning
health ^nn++++=health,
, ^zz++++=EXTRAWORD
Pe ^np+++??+=PE
requires ^vbz++++=requires
efforts ^nns++++=efforts
to ^to+ncmp+++=to
meet ^vbi++++=meet
critical ^jj+atrb+++=critical
pedagogies ^nns+++??+=pedagogies.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
the ^ati++++=the
critical ^jj+atrb+++=critical
absorption ^nn+nom+++=absorption
of ^in++++=of
the ^ati++++=the
Bncc ^np+++??+=BNCC
by ^in++++=by
the ^ati++++=the
area ^nn++++=area,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
numerous ^jj+atrb+++=numerous
studies ^nns++++=studies
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
focused ^vprf+++xvbnx+=focused
on ^in++++=on
the ^ati++++=the
theme ^nn++++=theme,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
eventually ^rb+tm+splt++=eventually
envision ^vb+++??+=envision
a ^at++++=a
Pe ^np+++??+=PE
aligned ^vwbn+++xvbn+=aligned
with ^in++++=with
the ^ati++++=the
cultural ^jj+atrb+++=cultural
formation ^nn+nom+++=formation
of ^in++++=of
human ^jj+atrb+++=human
beings ^nns++++=beings.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
health ^nn++++=health
can ^md+pos+++=can
be ^vb+be+aux++=be
debated ^vpsv++agls+xvbnx+=debated
at ^rb++++=at
the ^ati++++=the
collective ^jj+atrb+++=collective
level ^nn++++=level
based ^vwbn+++xvbn+=based
on ^in++++=on
its ^pp$+it+++=its
determinants ^nns+nom+++=determinants
and ^cc++++=and
that ^tht+vcmp+++=that
the ^ati++++=the
body ^nn++++=body
culture ^nn++++=culture,
, ^zz++++=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
manifestations ^nns+nom+++=manifestations
around ^in++++=around
games ^nns++++=games,
, ^zz++++=EXTRAWORD
gymnastics ^nns++++=gymnastics,
, ^zz++++=EXTRAWORD
sport ^nn++++=sport,
, ^zz++++=EXTRAWORD
dance ^nn++++=dance,
, ^zz++++=EXTRAWORD
fights ^vbz++++=fights,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
basis ^nn++++=basis
of ^in++++=of
a ^at++++=a
pedagogical ^jj+atrb+++=pedagogical
practice ^nn++++=practice
in ^in++++=in
Pe ^np+++??+=PE
committed ^vbd+++xvbn+=committed
to ^in++++=to
social ^jj+atrb+++=social
transformation ^nn+nom+++=transformation.
. ^zz++++=EXTRAWORD
In ^rb++++=In
short ^rb"++++=short,
, ^zz++++=EXTRAWORD
a ^at++++=a
practice ^nn++++=practice
that ^tht+rel+obj++=that
combats ^nns+++??+=combats
the ^ati++++=the
pressures ^nns++++=pressures
of ^in++++=of
the ^ati++++=the
contemporary ^jj+atrb+++=contemporary
world ^nn++++=world,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
Pe ^np+++??+=PE
Lives ^nns++++=lives
Of ^in++++=of
The ^ati++++=the
Precept ^nn++++=precept
Physical ^jj+atrb+++=Physical
Activity ^nn+nom+++=activity
Is ^vbz+bez+vrb++=is
Health ^nn++++=health.
 ^zz++++=EXTRAWORD
