[ ^zz++++=[...]
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
of ^in++++=of
what ^wdt+who+++=what
the ^ati++++=the
student ^nn++++=student
needs ^vb++++=needs
to ^to+vcmp+++=to
move ^vbi++++=move,
, ^zz++++=EXTRAWORD
through ^in++++=through
this ^dt+dem+++=this
perception ^nn+nom+++=perception
of ^in++++=of
the ^ati++++=the
student ^nn++++=student
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
given ^vpsv++by+xvbnx+=given
by ^in++++=by
us ^pp1o+pp1+++=us
teachers ^nns+nom+++=teachers,
, ^zz++++=EXTRAWORD
of ^in++++=of
what ^wdt+who+++=what
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
to ^to++++=to
move ^vbi++++=move,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
student ^nn++++=student
will ^md+prd+++=will
understand ^vb+vprv+++=understand
what ^wdt+who+whcl++=what
in ^in++++=in
Pe ^np+++??+=PE
in ^in++++=in
health ^nn++++=health.
. ^zz++++=EXTRAWORD
Pe ^np+++??+=PE
is ^vbz+bez+aux++=is
make ^vb++++=make
them ^pp3o+pp3+++=them
understand ^vb+vprv+++=understand
body ^nn++++=body
movement ^nn+nom+++=movement
and ^cc++++=and
the ^ati++++=the
benefit ^nn++++=benefit
that ^tht+rel+obj++=that
it ^pp3+it+++=it
will ^md+prd+++=will
give ^vb++++=give
for ^in++++=for
their ^pp$+pp3+++=their
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Pe ^np+++??+=PE
directs ^vbz+vpub+++=directs
the ^ati++++=the
student ^nn++++=student
to ^to++++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
the ^ati++++=the
body ^nn++++=body
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
body ^nn++++=body
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
( ^zz++++=(Fabiana
fabiana ^nn++++=EXTRAWORD
pe ^np++++=PE
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
