[ ^zz++++=[...]
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+vrb++=be
important ^jj+pred+++=important,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Pe ^np+++??+=PE
is ^vbz+bez+aux++=is
not ^xnot++not++=not
fulfilling ^vbg+nom++xvbg+=fulfilling
its ^pp$+it+++=its
role ^nn++++=role.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
s ^zz++++=s
my ^pp$+pp1+++=my
vision ^nn++++=vision.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
moment ^nn++++=moment
that ^tht+rel+obj++=that
some ^dti++++=some
students ^nns++++=students
mostly ^rb++++=mostly
sit ^vb++++=sit
while ^cs+sub+++=while
a ^at++++=a
group ^nn++++=group
plays ^nns++++=plays
soccer ^nn++++=soccer,
, ^zz++++=EXTRAWORD
Pe ^np+++??+=PE
is ^vbz+bez+aux++=is
not ^xnot++not++=not
solving ^vbg+++xvbg+=solving
the ^ati++++=the
health ^nn++++=health
problem ^nn++++=problem
it ^pp3+it+++=it
should ^md+nec+++=should
solve ^vb++++=solve
( ^zz++++=(Juliana
juliana ^np++++=EXTRAWORD
Geography ^nn++++=Geography
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
know ^vb+vprv+++=know
those ^dt+dem+++=those
clich ^nn+++??+=clich
s ^zz++++=s,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
moving ^vbg+++xvbg+=moving
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
for ^in++++=for
health ^nn++++=health,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
became ^vbd+++xvbn+=became
sedentary ^nn+nom+++=sedentary
throughout ^in++++=throughout
history ^nn++++=history.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^md"++pmd"++=used
to ^to++++=to
fished ^vb++++=fished,
, ^zz++++=EXTRAWORD
hunt ^np++++=hunt,
, ^zz++++=EXTRAWORD
run ^j+++xvbn+=run
to ^to++++=to
eat ^vbi++++=eat
and ^cc++++=and
then ^rn+tm+++=then
moving ^jj+++xvbg+=moving.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
easy ^jj++++=easy
to ^to+jcmp+++=to
open ^vbi++++=open
the ^ati++++=the
fridge ^nn+++??+=fridge
and ^cc++++=and
get ^vb++++=get
the ^ati++++=the
food ^nn++++=food
and ^cc++++=and
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
obese ^jj++++=obese.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
exercising ^vbg+++xvbg+=exercising
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
for ^in++++=for
health ^nn++++=health,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed
( ^zz++++=(Bruna
bruna ^nn++++=EXTRAWORD
geography ^nn++++=Geography
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
