Teachers ^nns+nom+++=Teachers
and ^cc++++=and
managers ^nns+nom+++=managers
of ^in++++=of
a ^at++++=a
school ^nn++++=school
unit ^nn++++=unit
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
School ^nn++++=School
System ^nn++++=System
understood ^vwbn+vprv++xvbn+=understood
health ^nn++++=health
by ^in++++=by
the ^ati++++=the
perspective ^nn++++=perspective
of ^in++++=of
well ^rb++++=well-being,
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
links ^nns++++=links
with ^in++++=with
an ^at++++=an
expanded ^jj+atrb++xvbn+=expanded
conception ^nn+nom+++=conception,
, ^zz++++=EXTRAWORD
overcoming ^jj+atrb++xvbg+=overcoming
aspects ^nns++++=aspects
centered ^vbd+++xvbn+=centered
on ^in++++=on
the ^ati++++=the
natural ^jj+atrb+++=natural
sciences ^nns+nom+++=sciences.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
understanding ^xvbg+++xvbg+=understanding
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
still ^rb++splt++=still
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
the ^ati++++=the
individual ^nn++++=individual
plan ^vb++++=plan
of ^in++++=of
the ^ati++++=the
students ^nns++++=students.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
also ^rb++++=also
demonstrated ^vprf+++xvbn+=demonstrated
that ^tht+vcmp+++=that
the ^ati++++=the
discourse ^nn++++=discourse
about ^in++++=about
body ^nn++++=body
practices ^nns++++=practices
as ^in++++=as
a ^at++++=a
link ^nn++++=link
between ^in++++=between
physical ^jj+atrb+++=physical
education ^nn+nom+++=education
and ^cc++++=and
health ^nn++++=health
at ^rb++++=at
school ^nn++++=school
is ^vbz+bez+vrb++=is
still ^rb+atrb+++=still
hegemonic ^jj+pred+++=hegemonic.
. ^zz++++=EXTRAWORD
