Thirty ^cd++++=Thirty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
new ^jj+atrb+++=new
species ^nns++++=species
ocurrences ^nns+nom+++=ocurrences
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
the ^ati++++=the
Para ^nn++++=Para
ba ^nn+++??+=ba
State ^nn++++=State
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
* ^zz++++=*
in ^in++++=in
table ^nn++++=table
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
being ^jj+atrb++xvbg+=being
new ^jj+atrb+++=new
occurrences ^nns+nom+++=occurrences
of ^in++++=of
genera ^nns++++=genera:
: ^zz++++=EXTRAWORD
Eriope ^np+++??+=Eriope
Kunth ^np+++??+=Kunth
ex ^jjb++++=ex
Benth ^np+++??+=Benth.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
new ^jj+atrb+++=new
occurrences ^nns+nom+++=occurrences
for ^in++++=for
the ^ati++++=the
Caatinga ^np+++??+=Caatinga
domain ^nn++++=domain
were ^vbd+bed+vrb++=were
also ^rb++++=also
record ^nn++++=record:
: ^zz++++=EXTRAWORD
Helicteres ^nns+nom++??+=Helicteres
andersonii ^nn+++??+=andersonii
Crist ^np+++??+=Crist
bal ^jj++++=bal
( ^zz++++=(Malvaceae),
malvaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Niedenzuella ^np+++??+=Niedenzuella
multiglandulosa ^nn+++??+=multiglandulosa
( ^zz++++=(A.
a ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Juss ^np+++??+=Juss.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Wr ^np+++??+=WR
Anderson ^np++++=Anderson
( ^zz++++=(Malpighiaceae)
malpighiaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Oxalis ^np+++??+=Oxalis
latifolia ^nn+++??+=latifolia
Kunth ^np+++??+=Kunth
( ^zz++++=(Oxalidaceae);
oxalidaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
new ^jj+atrb+++=new
species ^nns++++=species
described ^vwbn+++xvbn+=described
by ^in++++=by
( ^zz++++=(Monteiro
monteiro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al
2018 ^cd++++=2018)
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(Harley
harley ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al
2019 ^cd++++=2019)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded:
: ^zz++++=EXTRAWORD
Harpochilus ^np+++??+=Harpochilus
paraibanus ^nns+++??+=paraibanus
F.k.s ^np+++??+=F.K.S.
. ^zz++++=EXTRAWORD
Monteiro ^np+++??+=Monteiro,
, ^zz++++=EXTRAWORD
J.i.m ^np+++??+=J.I.M
Melo ^np+++??+=Melo
& ^zz++++=&
E.m.p ^np+++??+=E.M.P.
. ^zz++++=EXTRAWORD
Fernando ^np++++=Fernando
And ^cc++++=and
Mesosphaerum ^np++++=Mesosphaerum
Caatingense ^nn++++=caatingense
Harley ^np++++=Harley
 ^zz++++=&
J.f.b ^np++++=J.F.B.
 ^zz++++=EXTRAWORD
Pastore ^np++++=Pastore.
 ^zz++++=EXTRAWORD
