A ^ap++++=A
few ^ap"++++=few
years ^nns++++=years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
in ^in++++=in
1937 ^cd+date+++=1937,
, ^zz++++=EXTRAWORD
the ^ati++++=the
salary ^nn++++=salary
was ^vbd+bedz+aux++=was
legalized ^vpsv++agls+xvbnx+=legalized
for ^in++++=for
the ^ati++++=the
entire ^jjb+atrb+++=entire
private ^jj+atrb+++=private
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
the ^ati++++=the
salary ^nn++++=salary
was ^vbd+bedz+aux++=was
divided ^vpsv++agls+xvbnx+=divided
according ^in++++=according
to ^in++++=to
geographical ^jj+atrb+++=geographical
areas ^nns++++=areas:
: ^zz++++=EXTRAWORD
300 ^cd++++=300,
, ^zz++++=EXTRAWORD
350 ^cd++++=350,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
400 ^cd++++=400
pesos ^nns++++=pesos
per ^in++++=per
month ^nn++++=month.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
the ^ati++++=the
municipality ^nn+nom+++=municipality
of ^in++++=of
Santiago ^np+++??+=Santiago,
, ^zz++++=EXTRAWORD
the ^ati++++=the
minimums ^nns+++??+=minimums
were ^vbd+bed+aux++=were
established ^vpsv++agls+xvbnx+=established
at ^rb++++=at
12 ^cd++++=12
pesos ^nns++++=pesos
per ^nnu++++=per
day ^nn++++=day
for ^in++++=for
temporary ^jj+atrb+++=temporary
workers ^nns+nom+++=workers
and ^cc++++=and
13 ^cd++++=13
pesos ^nns++++=pesos
for ^in++++=for
the ^ati++++=the
group ^nn++++=group
of ^in++++=of
permanent ^jj+atrb+++=permanent
workers ^nns+nom+++=workers.
. ^zz++++=EXTRAWORD
As ^ql++++=As
can ^md+pos+++=can
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
tables ^nns++++=tables
8 ^zz++++=8
and ^cc++++=and
9 ^zz++++=9,
, ^zz++++=EXTRAWORD
the ^ati++++=the
salary ^nn++++=salary
in ^in++++=in
Us ^pp1o+pp1+++=US
dollars ^nns++++=dollars
fluctuated ^vprf+++xvbn+=fluctuated
between ^in++++=between
4.24 ^cd++++=4.24
and ^cc++++=and
15.72 ^cd++++=15.72,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
lower ^nn++++=lower
limit ^vb++++=limit
was ^vbd+bedz+vrb++=was
8 ^zz++++=8
for ^in++++=for
the ^ati++++=the
group ^nn++++=group
of ^in++++=of
workers ^nns+nom+++=workers
made ^vbd+++xvbn+=made
up ^rp++++=up
of ^in++++=of
minors ^nns++++=minors,
, ^zz++++=EXTRAWORD
older ^jjr+atrb+++=older
adults ^nns++++=adults
and ^cc++++=and
workers ^nns+nom+++=workers
with ^in++++=with
disabilities ^nns+nom+++=disabilities.
. ^zz++++=EXTRAWORD
