Globally ^np+++??+=Globally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
90 ^cd++++=90
s ^zz++++=s
decade ^nn++++=decade
witnessed ^vbd+++xvbn+=witnessed
significant ^jj+atrb+++=significant
landmarks ^nns++++=landmarks
in ^in++++=in
favor ^in"++++=favor
of ^in"++++=of
people ^nns++++=people
with ^in++++=with
impairments ^nns+nom+++=impairments.
. ^zz++++=EXTRAWORD
The ^ati++++=The
World ^nn++++=World
Declaration ^nn+nom+++=Declaration
on ^in++++=on
Education ^nn+nom+++=Education
for ^in++++=for
All ^abn++++=All
asserted ^nn+++xvbn+=asserted
that ^tht+ncmp+++=that
every ^at++++=every
single ^jj+atrb+++=single
person ^nn++++=person
has ^vbz+hvz+vrb++=has
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
education ^nn+nom+++=education
and ^cc++++=and
must ^md+nec+++=must
have ^vb+hv+vrb++=have
access ^nn++++=access
to ^in++++=to
basic ^jj+atrb+++=basic
conditions ^nns+nom+++=conditions
of ^in++++=of
learning ^xvbg+++xvbg+=learning
( ^zz++++=(UNESCO,
unesco ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
1994 ^cd+date+++=1994,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Salamanca ^np+++??+=Salamanca
Statement ^nn+nom+++=Statement
was ^vbd+bedz+aux++=was
announced ^vpsv++by+xvbnx+=announced
by ^in++++=by
the ^ati++++=the
United ^jj+atrb+++=United
Nations ^nns+nom+++=Nations
to ^to++++=to
ensure ^vbi+vprv+++=ensure
social ^jj+atrb+++=social
and ^cc+phrs+++=and
educational ^jj+atrb+++=educational
inclusion ^nn++++=inclusion,
, ^zz++++=EXTRAWORD
stating ^vbg+vpub++xvbg+=stating
that ^tht+vcmp+++=that
people ^nns++++=people
with ^in++++=with
special ^jj+atrb+++=special
needs ^nns++++=needs
must ^md+nec+++=must
receive ^vb++++=receive
equal ^jj+atrb+++=equal
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
any ^dti++++=any
limitation ^nn+nom+++=limitation
( ^zz++++=(FIGUEIREDO;
figueiredo ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
kato ^np++++=KATO,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
