Nowadays ^rb+cnj+++=Nowadays,
, ^zz++++=EXTRAWORD
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns++++=councilors
always ^rb++++=always
want ^vb++++=want
resources ^nns++++=resources
for ^in++++=for
the ^ati++++=the
municipality ^nn+nom+++=municipality
in ^in++++=in
a ^at++++=a
way ^nn++++=way
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
a ^at++++=a
negotiation ^nn+nom+++=negotiation.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
only ^rb+down+++=only
commit ^vb++++=commit
to ^in++++=to
the ^ati++++=the
legislator ^nn++++=legislator
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
provides ^vbz+vsua+++=provides
resources ^nns++++=resources
( ^zz++++=(...)
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
select ^vb++++=select
carefully ^rb++++=carefully
( ^zz++++=(...),
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
avoid ^vb++++=avoid
this ^dt+dem+++=this
kind ^rb++++=kind
of ^rb"++++=of
person ^nn++++=person
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
a ^at++++=a
lasting ^jj+atrb++xvbg+=lasting
relationship ^nn+nom+++=relationship.
. ^zz++++=EXTRAWORD
The ^ati++++=The
[ ^zz++++=[legislator]
legislator ^nn++++=EXTRAWORD
] ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
this ^dt+dem+++=this
characteristic ^nn++++=characteristic
of ^in++++=of
bringing ^xvbg+++xvbg+=bringing
people ^nns++++=people
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
affiliated ^vpsv++agls+xvbnx+=affiliated
to ^in++++=to
the ^ati++++=the
[ ^zz++++=[party],
party ^nn++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
sympathy ^nn++++=sympathy
for ^in++++=for
the ^ati++++=the
[ ^zz++++=[party],
party ^nn++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
for ^in++++=for
friendship ^nn+nom+++=friendship
( ^zz++++=(Advisor
advisor ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
