Maldonado ^np+++??+=Maldonado
and ^cc++++=and
Silva ^np+++??+=Silva
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
analysis ^nn++++=analysis
of ^in++++=of
Reesp ^np+++??+=REESP
curricula ^nns++++=curricula
regarding ^in++++=regarding
Pe ^np+++??+=PE,
, ^zz++++=EXTRAWORD
affirm ^nn+++??+=affirm
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
different ^jj+atrb+++=different
perspectives ^nns++++=perspectives:
: ^zz++++=EXTRAWORD
in ^in++++=in
1978 ^cd+date+++=1978,
, ^zz++++=EXTRAWORD
the ^ati++++=the
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
centered ^vpsv++agls+xvbnx+=centered
on ^in++++=on
fitness ^nns+nom+++=fitness
and ^cc++++=and
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
motor ^nn++++=motor
skills ^nns++++=skills;
; ^zz++++=EXTRAWORD
in ^in++++=in
1991 ^cd+date+++=1991
the ^ati++++=the
approach ^nn++++=approach
was ^vbd+bedz+vrb++=was
psychomotor ^nn++++=psychomotor
with ^in++++=with
links ^nns++++=links
to ^in++++=to
a ^at++++=a
critical ^jj+atrb+++=critical
discussion ^nn++++=discussion
influenced ^vwbn+++xvbn+=influenced
by ^in++++=by
the ^ati++++=the
human ^jj+atrb+++=human
sciences ^nns+nom+++=sciences;
; ^zz++++=EXTRAWORD
in ^in++++=in
1996 ^cd+date+++=1996
the ^ati++++=the
psychomotor ^nn++++=psychomotor
approach ^nn++++=approach
remains ^nns++++=remains,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
with ^in++++=with
contributions ^nns+nom+++=contributions
from ^in++++=from
the ^ati++++=the
developmental ^jj+atrb+++=developmental
line ^nn++++=line;
; ^zz++++=EXTRAWORD
in ^in++++=in
2008 ^cd++++=2008
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
focused ^vpsv++agls+xvbnx+=focused
on ^in++++=on
the ^ati++++=the
critical ^jj+atrb+++=critical
approaches ^nns++++=approaches
of ^in++++=of
Pe ^np+++??+=PE,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
the ^ati++++=the
criticovercoming ^jj+++xvbg+=criticovercoming
and ^cc++++=and
critic ^nn++++=critic-emancipatory
- ^zz++++=EXTRAWORD
emancipatory ^nn++++=EXTRAWORD
approaches ^nns++++=approaches.
. ^zz++++=EXTRAWORD
By ^in++++=By
observing ^xvbg+++xvbg+=observing
Chart ^nn++++=Chart
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
understand ^vb+vprv+++=understand
that ^tht+vcmp+++=that
12 ^cd++++=12
of ^in++++=of
the ^ati++++=the
13 ^cd++++=13
teachers ^nns+nom+++=teachers
experienced ^vbd+++xvbn+=experienced
at ^rb++++=at
least ^rb"++++=least
two ^cd++++=two
phases ^nns++++=phases
of ^in++++=of
the ^ati++++=the
Pe ^np+++??+=PE
curriculum ^nn++++=curriculum
at ^in++++=at
Reesp ^np+++??+=REESP.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
data ^nns++++=data
on ^in++++=on
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
of ^in++++=of
health ^nn++++=health
and ^cc++++=and
its ^pp$+it+++=its
relation ^nn+nom+++=relation
with ^in++++=with
Pe ^np+++??+=PE
are ^vb+ber+aux++=are
immersed ^vpsv++agls+xvbnx+=immersed
in ^in++++=in
meanings ^nns++++=meanings
derived ^vbd+++xvbn+=derived
from ^in++++=from
a ^at++++=a
transition ^nn+nom+++=transition
of ^in++++=of
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
from ^in++++=from
instrumental ^jj++++=instrumental
to ^in++++=to
critical ^jj++++=critical.
. ^zz++++=EXTRAWORD
