Hlma2 ^np+++??+=HLMA2
reveals ^nns+nom+++=reveals
the ^ati++++=the
fusing ^nn++++=fusing
of ^in++++=of
two ^cd++++=two
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
cartons ^nns++++=cartons
as ^in++++=as
a ^at++++=a
single ^jj+atrb+++=single
item ^nn++++=item
to ^to++++=to
symbolize ^vbi++++=symbolize
a ^at++++=a
unity ^nn++++=unity
of ^in++++=of
purpose ^nn++++=purpose,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
between ^in++++=between
Social ^jj+atrb+++=Social
Actors ^nns++++=Actors
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
influences ^nns+nom+++=influences
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
to ^in++++=to
gaze ^nn++++=gaze
and ^cc++++=and
make ^vb++++=make
an ^at++++=an
eye ^nn++++=eye
contact ^nn++++=contact
with ^in++++=with
the ^ati++++=the
target ^nn++++=target
audience ^nn+nom+++=audience,
, ^zz++++=EXTRAWORD
demanding ^vbg+vsua++xvbg+=demanding
their ^pp$+pp3+++=their
cooperation ^nn+nom+++=cooperation.
. ^zz++++=EXTRAWORD
A ^at++++=A
social ^jj+atrb+++=social
actor ^nn++++=actor
touches ^nns++++=touches
a ^at++++=a
teeth ^nns++++=teeth-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
image ^nn++++=image
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
depict ^vb++++=depict
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
as ^ql++++=as
the ^ati++++=the
toothpaste ^nn++++=toothpaste
that ^tht+rel+subj++=that
strengthens ^vbz++++=strengthens
the ^ati++++=the
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
