Surprisingly ^rb+cnj+++=Surprisingly,
, ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
creates ^nns+nom+++=creates
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
belonging ^nn++++=belonging
for ^in++++=for
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
and ^cc+phrs+++=and
wearing ^vbg+++xvbg+=wearing
a ^at++++=a
white ^jj+atrb+++=white
lab ^nn++++=lab-coat
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
two ^cd++++=two
of ^in++++=of
them ^pp3o+pp3+++=them
as ^ql++++=as
being ^jj+++xvbg+=being
indexical ^jj++++=indexical
( ^zz++++=(Dyer,
dyer ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Perhaps ^rb+cnj+++=Perhaps,
, ^zz++++=EXTRAWORD
the ^ati++++=the
donation ^nn+nom+++=donation
and ^cc++++=and
wearing ^vbg+++xvbg+=wearing
of ^in++++=of
the ^ati++++=the
lab ^nn++++=lab-coat
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
connote ^nn+++??+=connote
that ^tht+rel+++=that
only ^rb+down+++=only
dental ^jj+atrb+++=dental
experts ^nns++++=experts
could ^md+pos+++=could
promote ^vb++++=promote
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
that ^tht+rel+++=that
such ^abl++++=such
marketing ^nn++++=marketing
should ^md+nec+++=should
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
indirectly ^rb++++=indirectly
tells ^vbz++++=tells
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
that ^cs+sub+++=that
a ^at++++=a
layman ^nn++++=layman
cannot ^md+pos+not++=cannot
advertise ^vb++++=advertise
Oral ^jj++++=Oral-B;
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
only ^rb+down+++=only
dentists ^nns+nom+++=dentists
of ^in++++=of
repute ^nn++++=repute
from ^in++++=from
the ^ati++++=the
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
Institute ^npl++++=Institute
have ^vb+hv+vrb++=have
the ^ati++++=the
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
enlighten ^vbi++++=enlighten
the ^ati++++=the
target ^nn++++=target
audience ^nn+nom+++=audience
about ^in++++=about
the ^ati++++=the
pedigree ^nn+nom+++=pedigree
of ^in++++=of
the ^ati++++=the
toothpaste ^nn++++=toothpaste.
. ^zz++++=EXTRAWORD
