As ^ql++++=As
can ^md+pos+++=can
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
tables ^nns++++=tables
6 ^zz++++=6
and ^cc++++=and
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
in ^in++++=in
1936 ^cd+date+++=1936
the ^ati++++=the
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
according ^in++++=according
to ^in++++=to
previous ^jj+atrb+++=previous
earnings ^nns++++=earnings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lowest ^jjt+atrb+++=lowest
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
was ^vbd+bedz+vrb++=was
$ ^zz++++=$17.50,
17.50 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
highest ^jjt+atrb+++=highest
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
was ^vbd+bedz+vrb++=was
$ ^zz++++=$278.40.
278.40 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
