Legislators ^np+++??+=Legislators
with ^in++++=with
a ^at++++=a
profile ^nn++++=profile
linked ^vwbn+++xvbn+=linked
to ^to++++=to
assisting ^vbi++++=assisting
municipalities ^nns+nom+++=municipalities
( ^zz++++=(municipalista)
municipalista ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
follow ^vb+vprv+++=follow
this ^dt+dem+++=this
process ^nns+nom+++=process
to ^to++++=to
meet ^vbi++++=meet
demands ^nns++++=demands:
: ^zz++++=EXTRAWORD
mayors ^npts++++=mayors,
, ^zz++++=EXTRAWORD
city ^nn++++=city
councilors ^nns++++=councilors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
local ^jj+atrb+++=local
leaders ^nns+nom+++=leaders
( ^zz++++=(especially
especially ^rb++++=EXTRAWORD
former ^ap++++=former
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns++++=councilors)
) ^zz++++=EXTRAWORD
present ^vb++++=present
the ^ati++++=the
requests ^nns++++=requests.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
office ^nn++++=office
is ^vbz+bez+aux++=is
mobilized ^vpsv++agls+xvbnx+=mobilized
to ^to++++=to
meet ^vbi++++=meet
those ^dt+dem+++=those
within ^in++++=within
the ^ati++++=the
resources ^nns++++=resources
and ^cc++++=and
options ^nns+nom+++=options
available ^jj++++=available.
. ^zz++++=EXTRAWORD
