[ ^zz++++=[...]
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
the ^ati++++=the
adherence ^nn+nom+++=adherence
to ^in++++=to
body ^nn++++=body
practices ^nns++++=practices
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
restricted ^jj+++xvbn+=restricted
to ^in++++=to
Pe ^np+++??+=PE
classes ^nns++++=classes.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
building ^nvbg+++xvbg+=building
these ^dt+dem+++=these
competencies ^nns+++??+=competencies
in ^in++++=in
the ^ati++++=the
school ^nn++++=school
environment ^nn+nom+++=environment
does ^vbz+doz+aux++=does
not ^xnot++not++=not
guarantee ^nn+nom+++=guarantee
a ^at++++=a
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
health ^nn++++=health
education ^nn+nom+++=education
that ^tht+rel+subj++=that
leads ^vbz++++=leads
to ^in++++=to
regular ^jj+atrb+++=regular
and ^cc+phrs+++=and
adequate ^jj+atrb+++=adequate
health ^nn++++=health
actions ^nns+nom+++=actions
( ^zz++++=(OLIVEIRA;
oliveira ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
gomes ^np++++=GOMES;
; ^zz++++=EXTRAWORD
bracht ^np++++=BRACHT,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
p.74 ^nn++++=p.74).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
