consulting ^vbg+++xvbg+=consulting
with ^in++++=with
schools ^nns++++=schools
educational ^jj+atrb+++=educational
advisor ^nn++++=advisor
and ^cc++++=and
Special ^jj+atrb+++=Special
Education ^nn+nom+++=Education
professionals ^nns+nom+++=professionals
about ^in++++=about
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
and ^cc++++=and
implementation ^nn+nom+++=implementation
of ^in++++=of
such ^abl++++=such
materials ^nns+nom+++=materials
in ^in++++=in
regular ^jj+atrb+++=regular
classes ^nns++++=classes;
; ^zz++++=EXTRAWORD
