We ^pp1a+pp1+++=We
selected ^vbd+++xvbn+=selected
six ^cd++++=six
out ^rp+pl+++=out
of ^in++++=of
13 ^cd++++=13
activities ^nns+nom+++=activities
of ^in++++=of
the ^ati++++=the
Vocabulary ^nn+nom+++=Vocabulary
Corner ^nn++++=Corner,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represent ^vb++++=represent
examples ^nns++++=examples
of ^in++++=of
the ^ati++++=the
many ^ap++++=many
options ^nns+nom+++=options
available ^jj++++=available
to ^to++++=to
adapt ^vbi++++=adapt
a ^at++++=a
visual ^jj+atrb+++=visual
resource ^nn++++=resource
to ^to++++=to
become ^vbi++++=become
a ^at++++=a
didactic ^jj+atrb+++=didactic
activity ^nn+nom+++=activity
for ^in++++=for
both ^abx++++=both
sighted ^jj+++xvbn+=sighted
and ^cc++++=and
non ^&fw++++=non-sighted
- ^zz++++=EXTRAWORD
sighted ^vprf+++xvbn+=EXTRAWORD
students ^nns++++=students.
. ^zz++++=EXTRAWORD
the ^ati++++=The
activities ^nns+nom+++=activities
selected ^jj++++=selected
are ^vb+ber+aux++=are
indicated ^vbd+vprv++xvbn+=indicated
in ^in++++=in
chart ^nn++++=Chart
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
