Pseudostem ^np+++??+=Pseudostem
1.2 ^cd++++=1.2-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
m ^zz++++=m
tall ^jj++++=tall.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
with ^in++++=with
sheaths ^nns+++??+=sheaths,
, ^zz++++=EXTRAWORD
bladeless ^jj+atrb+++=bladeless
sheaths ^nns+++??+=sheaths
2 ^zz++++=2-3;
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
ligule ^nn+++??+=ligule
oblong ^jj++++=oblong
1.3 ^cd++++=1.3-2.5
- ^zz++++=EXTRAWORD
2.5 ^cd++++=EXTRAWORD
x ^zz++++=x
0.9 ^nn+++??+=0.9-1.5
- ^zz++++=EXTRAWORD
1.5 ^cd++++=EXTRAWORD
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
obtuse ^jj++++=obtuse
to ^in++++=to
shallowly ^jj++++=shallowly
bilobed ^jj+++xvbn+=bilobed
or ^cc+phrs+++=or
acute ^jj++++=acute,
, ^zz++++=EXTRAWORD
green ^nn++++=green
with ^in++++=with
brownish ^jj+atrb+++=brownish
margin ^nn++++=margin;
; ^zz++++=EXTRAWORD
absent ^jj+atrb+++=absent
petiole ^nn+++??+=petiole;
; ^zz++++=EXTRAWORD
absent ^jj+atrb+++=absent
pulvinus ^nns+++??+=pulvinus;
; ^zz++++=EXTRAWORD
blade ^nn++++=blade
oblong ^jj++++=oblong
33 ^cd++++=33-47
- ^zz++++=EXTRAWORD
47 ^cd++++=EXTRAWORD
x ^zz++++=x
2.5 ^cd++++=2.5-4.5
- ^zz++++=EXTRAWORD
4.5 ^cd++++=EXTRAWORD
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
acuminate ^nn+nom+++=acuminate,
, ^zz++++=EXTRAWORD
base ^nn++++=base
cuneate ^nn+nom+++=cuneate,
, ^zz++++=EXTRAWORD
upper ^jjb+atrb+++=upper
surface ^nn++++=surface
glabrous ^jj+atrb+++=glabrous,
, ^zz++++=EXTRAWORD
lower ^jjr+atrb+++=lower
surface ^nn++++=surface
pubescent ^jj++++=pubescent.
. ^zz++++=EXTRAWORD
Terminal ^jj+atrb+++=Terminal
inflorescence ^nn+nom+++=inflorescence,
, ^zz++++=EXTRAWORD
erect ^jj++++=erect
10 ^cd++++=10-21
- ^zz++++=EXTRAWORD
21 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy;
; ^zz++++=EXTRAWORD
peduncle ^nn+++??+=peduncle
1015 ^cd++++=1015
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy;
; ^zz++++=EXTRAWORD
bracts ^nns+++??+=bracts
lax ^jj++++=lax
2.5 ^cd++++=2.5-3.9
- ^zz++++=EXTRAWORD
3.9 ^cd++++=EXTRAWORD
x ^zz++++=x
0.7 ^nn+++??+=0.7-1.7
- ^zz++++=EXTRAWORD
1.7 ^cd++++=EXTRAWORD
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded,
, ^zz++++=EXTRAWORD
oblong ^jj++++=oblong,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
obtuse ^jj++++=obtuse-acute,
- ^zz++++=EXTRAWORD
acute ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy,
, ^zz++++=EXTRAWORD
green ^nn++++=green,
, ^zz++++=EXTRAWORD
each ^dt++++=each
subtending ^jj+++xvbg+=subtending
a ^at++++=a
cincinnus ^nns+++??+=cincinnus
of ^in++++=of
3 ^zz++++=3-6
- ^zz++++=EXTRAWORD
6 ^zz++++=EXTRAWORD
flowers ^nns+nom+++=flowers;
; ^zz++++=EXTRAWORD
tubular ^jj+atrb+++=tubular
bracteoles ^nns+++??+=bracteoles;
; ^zz++++=EXTRAWORD
first ^od++++=first
bracteole ^vb+++??+=bracteole
ca ^np++++=ca.
. ^zz++++=EXTRAWORD
1.6 ^cd++++=1.6
x ^zz++++=x
1 ^zz++++=1
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
acute ^jj++++=acute,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy,
, ^zz++++=EXTRAWORD
greenish ^jj++++=greenish;
; ^zz++++=EXTRAWORD
second ^od++++=second
bracteole ^nn+++??+=bracteole
ca ^np++++=ca.
. ^zz++++=EXTRAWORD
1.2 ^cd++++=1.2
x ^zz++++=x
0.5 ^nn+++??+=0.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
acute ^jj++++=acute,
, ^zz++++=EXTRAWORD
membranous ^jj++++=membranous,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy,
, ^zz++++=EXTRAWORD
greenish ^jj++++=greenish;
; ^zz++++=EXTRAWORD
third ^od++++=third
bracteole ^vb+++??+=bracteole
ca ^np++++=ca.
. ^zz++++=EXTRAWORD
1 ^zz++++=1
x ^zz++++=x
0.4 ^nn+++??+=0.4
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
membranous ^jj++++=membranous,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy,
, ^zz++++=EXTRAWORD
greenish ^jj++++=greenish.
. ^zz++++=EXTRAWORD
Flowers ^nns+nom+++=Flowers
orange ^nn++++=orange;
; ^zz++++=EXTRAWORD
calyx ^nn+++??+=calyx
tubular ^jj++++=tubular
2 ^zz++++=2-2.7
- ^zz++++=EXTRAWORD
2.7 ^cd++++=EXTRAWORD
x ^zz++++=x
0.5 ^nn+++??+=0.5-0.7
- ^zz++++=EXTRAWORD
0.7 ^nn+++??+=EXTRAWORD
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
2 ^zz++++=2-dented,
- ^zz++++=EXTRAWORD
dented ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy;
; ^zz++++=EXTRAWORD
corolla ^nn+++??+=corolla
tube ^nn++++=tube
slender ^jj++++=slender,
, ^zz++++=EXTRAWORD
2.8 ^cd++++=2.8-3.2
- ^zz++++=EXTRAWORD
3.2 ^cd++++=EXTRAWORD
x ^zz++++=x
0.2 ^nn+++??+=0.2-0.3
- ^zz++++=EXTRAWORD
0.3 ^nn+++??+=EXTRAWORD
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
3 ^zz++++=3-lobed,
- ^zz++++=EXTRAWORD
