Moving ^vbg+++xvbg+=Moving
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
activities ^nns+nom+++=activities
involve ^vb++++=involve
the ^ati++++=the
vocabulary ^nn+nom+++=vocabulary
learned ^vbd+++xvbn+=learned
on ^in++++=on
unit ^nn++++=unit
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
an ^at++++=an
exercise ^nn++++=exercise
reviewing ^vwbg+++xvbg+=reviewing
School ^nn++++=School
Subjects ^nns++++=Subjects,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
asks ^vbz++++=asks
students ^nns++++=students
to ^to++++=to
write ^vbi++++=write
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
subjects ^nns++++=subjects
below ^in+pl+++=below
the ^ati++++=the
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
one ^cd1++++=one
reviewing ^nvbg+++xvbg+=reviewing
the ^ati++++=the
Days ^nns++++=Days
of ^in++++=of
the ^ati++++=the
Week ^nn++++=Week,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
requests ^nns++++=requests
students ^nns++++=students
to ^to++++=to
write ^vbi++++=write
the ^ati++++=the
seven ^cd++++=seven
days ^nns++++=days
in ^in++++=in
order ^nn++++=order.
. ^zz++++=EXTRAWORD
Following ^vbg+++xvbg+=Following
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
activity ^nn+nom+++=activity
to ^to++++=to
complete ^vbi++++=complete
the ^ati++++=the
family ^nn++++=family
tree ^nn++++=tree
with ^in++++=with
the ^ati++++=the
Members ^nns+nom+++=Members
of ^in++++=of
the ^ati++++=the
Family ^nn++++=Family,
, ^zz++++=EXTRAWORD
content ^nn++++=content
learned ^vbd+++xvbn+=learned
on ^in++++=on
unit ^nn++++=unit
5 ^zz++++=5.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
following ^jj+atrb++xvbg+=following
exercise ^nn++++=exercise,
, ^zz++++=EXTRAWORD
reviewing ^nvbg+++xvbg+=reviewing
the ^ati++++=the
vocabulary ^nn+nom+++=vocabulary
of ^in++++=of
unit ^nn++++=unit
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
images ^nns++++=images
of ^in++++=of
Parts ^nns++++=Parts
of ^in++++=of
a ^at++++=a
House ^nn++++=House
and ^cc++++=and
Furniture ^nn++++=Furniture,
, ^zz++++=EXTRAWORD
below ^in+pl+++=below
which ^whp+rel+pied++=which
students ^nns++++=students
must ^md+nec+++=must
write ^vb++++=write
the ^ati++++=the
referent ^jj+atrb+++=referent
words ^nns++++=words.
. ^zz++++=EXTRAWORD
