According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
objectives ^nns++++=objectives
and ^cc++++=and
the ^ati++++=the
review ^nn++++=review
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
the ^ati++++=the
narrative ^nn++++=narrative
synthesis ^nn++++=synthesis
is ^vbz+bez+aux++=is
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
suitable ^jj+atrb+++=suitable
key ^jjb+atrb+++=key
conceptual ^jj+atrb+++=conceptual
categories ^nns++++=categories
and ^cc++++=and
specific ^jj++++=specific
subgroups ^vbz+++??+=subgroups
created ^vprf+++xvbn+=created
after ^in++++=after
the ^ati++++=the
data ^nns++++=data
extraction ^nn+nom+++=extraction
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
The ^ati++++=The
synthesis ^nn++++=synthesis
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
guidelines ^nns+++??+=guidelines
of ^in++++=of
the ^ati++++=the
Equator ^np++++=EQUATOR
checklist ^nn+nom+++=checklist
called ^vbd+++xvbn+=called
the ^ati++++=the
Preferred ^nn++++=Preferred
Reporting ^vwbg+++xvbg+=Reporting
Items ^nns++++=Items
for ^in++++=for
Systematic ^jj+atrb+++=Systematic
reviews ^nns++++=reviews
and ^cc++++=and
Meta ^np+++??+=Meta-Analyses
- ^zz++++=EXTRAWORD
analyses ^nns++++=EXTRAWORD
extension ^nn++++=extension
for ^in++++=for
Scoping ^np+++??+=Scoping
Reviews ^nns++++=Reviews
( ^zz++++=(PRISMA-ScR)
prisma ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
scr ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
File ^nn++++=File
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
( ^zz++++=(Tricco
tricco ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
were ^vbd+bed+aux++=were
categorized ^vpsv++agls+xvbnx+=categorized
and ^cc++++=and
refined ^jj+++xvbn+=refined
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
interventions ^nns+nom+++=interventions
using ^jj+atrb+++=using
figures ^nns++++=figures
and ^cc++++=and
tables ^nns++++=tables.
. ^zz++++=EXTRAWORD
