According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Siasi ^np+++??+=SIASI
( ^zz++++=(Sistema
sistema ^nn+++??+=EXTRAWORD
de ^&fw++++=de
Informa ^np+++??+=Informa
o ^zz++++=o
da ^np++++=da
Aten ^np+++??+=Aten
o ^zz++++=o
Sa ^np+++??+=Sa
de ^&fw++++=de
Ind ^np+++??+=Ind
gena ^nn+++??+=gena),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
operated ^xvbn+++xvbn+=operated
by ^in++++=by
the ^ati++++=the
Secretaria ^np+++??+=Secretaria
Especial ^jj++++=Especial
de ^&fw++++=de
Sa ^np+++??+=Sa
de ^&fw++++=de
Ind ^np+++??+=Ind
gena ^nn+++??+=gena
( ^zz++++=(SESAI),
sesai ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
population ^nn+nom+++=population
of ^in++++=of
the ^ati++++=the
Middle ^jjb++++=Middle
Purus ^np+++??+=Purus
is ^vbz+bez+aux++=is
estimated ^vpsv++agls+xvbnx+=estimated
at ^rb++++=at
around ^rp++++=around
8,117 ^cd++++=8,117
inhabitants ^nns+nom+++=inhabitants,
, ^zz++++=EXTRAWORD
divided ^xvbn+++xvbn+=divided
into ^in++++=into
13 ^cd++++=13
ethnic ^jj+atrb+++=ethnic
groups ^nns++++=groups
and ^cc++++=and
distributed ^vpsv++agls+xvbn+=distributed
in ^in++++=in
24 ^cd++++=24
demarcated ^jj+atrb++xvbn+=demarcated
indigenous ^jj+atrb+++=indigenous
lands ^nns++++=lands
and ^cc++++=and
another ^dt++++=another
6 ^zz++++=6
non ^&fw++++=non-demarcated
- ^zz++++=EXTRAWORD
demarcated ^jj+++xvbn+=EXTRAWORD
( ^zz++++=(unidentified
unidentified ^jj+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and/or
delimited ^jj+++xvbn+=delimited),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
total ^jj+atrb+++=total
territorial ^jj+atrb+++=territorial
extension ^nn++++=extension
of ^in++++=of
the ^ati++++=the
demarcated ^jj+atrb+++=demarcated
indigenous ^jj+atrb+++=indigenous
areas ^nns++++=areas
corresponds ^vbz++++=corresponds
to ^to++++=to
189,870.964 ^cd++++=189,870.964
ha ^uh++++=ha.
. ^zz++++=EXTRAWORD
