Taking ^vbg+++xvbg+=Taking
into ^in++++=into
consideration ^nn+nom+++=consideration
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
work ^nn++++=work,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
criteria ^nns++++=criteria
of ^in++++=of
inclusion ^nn++++=inclusion
were ^vbd+bed+aux++=were
adopted ^vpsv++agls+xvbnx+=adopted:
: ^zz++++=EXTRAWORD
a ^at++++=a)
) ^zz++++=EXTRAWORD
the ^ati++++=the
text ^nn++++=text
should ^md+nec+++=should
be ^vb+be+vrb++=be
a ^at++++=a
paper ^nn++++=paper
published ^vbd+++xvbn+=published
on ^in++++=on
Scielo ^np+++??+=SciElo;
; ^zz++++=EXTRAWORD
b ^zz++++=b)
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+aux++=be
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
adaptation ^nn+nom+++=adaptation
or ^cc++++=or
didactic ^jj+atrb+++=didactic
materials ^nns+nom+++=materials
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students;
; ^zz++++=EXTRAWORD
c ^zz++++=c)
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+vrb++=be
available ^jj+atrb+++=available
online ^nn+++??+=online
and ^cc++++=and
for ^in++++=for
free ^jj++++=free;
; ^zz++++=EXTRAWORD
d ^zz++++=d)
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+aux++=be
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
blind ^jj+atrb+++=blind
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
school ^nn++++=school
context ^nn++++=context,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
the ^ati++++=the
themes ^nns++++=themes
are ^vb+ber+aux++=are
varied ^vpsv++agls+xvbnx+=varied
and ^cc++++=and
not ^xnot++not++=not
specifically ^rb++++=specifically
associated ^vpsv++agls+xvbn+=associated
to ^to++++=to
the ^ati++++=the
languages ^nns+nom+++=languages
field ^nn++++=field.
. ^zz++++=EXTRAWORD
