According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
interviewee ^nn+nom+++=interviewee
who ^whp+rel+subj++=who
stated ^vbn+vpub++xvbn+=stated
that ^tht+vcmp+++=that
the ^ati++++=the
lower ^jjr+atrb+++=lower
importance ^nn+nom+++=importance
of ^in++++=of
mayoral ^jj+atrb+++=mayoral
support ^nn++++=support
for ^in++++=for
her ^pp$+pp3+++=her
election ^nn+nom+++=election,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
media ^nns++++=media
virtually ^rb+down+++=virtually
dismisses ^vbz+++??+=dismisses
mayors ^npts++++=mayors
as ^ql++++=as
informational ^jj+atrb+++=informational
channels ^nns++++=channels.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
discussing ^vbg+++xvbg+=discussing
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
a ^at++++=a
mayor ^npt++++=mayor
not ^xnot++not++=not
giving ^vbg+++xvbg+=giving
credit ^nn++++=credit
for ^in++++=for
the ^ati++++=the
representative ^npt++++=representative
s ^zz++++=s
actions ^nns+nom+++=actions
or ^cc++++=or
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
cheat ^vbi++++=cheat
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interviewee ^nn+nom+++=interviewee
said ^vbd+vpub+tht0++=said
that ^tht+vcmp+++=that:
: ^zz++++=EXTRAWORD
