Consistent ^jj++++=Consistent
with ^in++++=with
studies ^nns++++=studies
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
in ^in++++=in
Brazil ^np++++=Brazil
and ^cc++++=and
the ^ati++++=the
comparative ^jj+atrb+++=comparative
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
that ^tht+vcmp+++=that
cooperation ^nn+nom+++=cooperation
between ^in++++=between
state ^nn++++=state
representatives ^nns++++=representatives
and ^cc++++=and
local ^jj+atrb+++=local
brokers ^nns+nom+++=brokers
seems ^vbz+seem+++=seems
worthwhile ^jj++++=worthwhile
for ^in++++=for
both ^abx++++=both
sides ^nns++++=sides,
, ^zz++++=EXTRAWORD
notwithstanding ^rb+cnj+++=notwithstanding
the ^ati++++=the
risks ^nns++++=risks
they ^pp3a+pp3+++=they
imply ^vb+vprv+++=imply.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
claim ^nn++++=claim
that ^tht+ncmp+++=that
one ^cd1++++=one
should ^md+nec+++=should
not ^xnot++not++=not
approach ^vb++++=approach
these ^dt+dem+++=these
risks ^nns++++=risks
as ^ql++++=as
dilemmas ^nns++++=dilemmas
typical ^jj++++=typical
of ^in++++=of
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
models ^nns++++=models.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
find ^vb+vprv+++=find
no ^at++++=no
support ^nn++++=support
for ^in++++=for
the ^ati++++=the
thesis ^nn++++=thesis
of ^in++++=of
an ^at++++=an
inherent ^jj+atrb+++=inherent
conflict ^nn++++=conflict
of ^in++++=of
objectives ^nns++++=objectives
between ^in++++=between
the ^ati++++=the
participants ^nns+nom+++=participants,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
dealing ^vbg+nom++xvbg+=dealing
with ^in+ppvb+++=with
brokers ^nns+nom+++=brokers
who ^whp+rel+obj++=who
hold ^nn++++=hold
elective ^jj+atrb+++=elective
office ^nn++++=office
or ^cc++++=or
have ^vb+hv+aux++=have
held ^vprf+++xvbnx+=held
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
also ^rb++++=also
point ^vb++++=point
out ^rp+pl+++=out
that ^cs+sub+++=that
although ^cs+con+++=although
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
information ^nn+nom+++=information
asymmetry ^nn++++=asymmetry
between ^in++++=between
the ^ati++++=the
participants ^nns+nom+++=participants,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
invariably ^rb++++=invariably
benefit ^vb++++=benefit
agents ^nns++++=agents
or ^cc++++=or
brokers ^nns+nom+++=brokers.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
without ^in++++=without
evidence ^nn+nom+++=evidence
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
fundamental ^jj+atrb+++=fundamental
assumptions ^nns+nom+++=assumptions
of ^in++++=of
these ^dt+dem+++=these
theories ^nns++++=theories,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
highlight ^nn++++=highlight
their ^pp$+pp3+++=their
limits ^nns++++=limits
to ^to++++=to
describe ^vbi++++=describe
and ^cc++++=and
analyze ^nn+++??+=analyze
the ^ati++++=the
relationships ^nns+nom+++=relationships
studied ^vbd+++xvbn+=studied
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
propose ^vb++++=propose
that ^tht+vcmp+++=that
principalagent ^jj+atrb+++=principalagent
theories ^nns++++=theories
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
as ^ql++++=as
