According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
2016 ^cd++++=2016
annual ^jj+atrb+++=annual
management ^nn+nom+++=management
report12 ^nn+++??+=report12,
, ^zz++++=EXTRAWORD
due ^jj++++=due
to ^in+jcmp+++=to
structural ^jj+atrb+++=structural
and ^cc+phrs+++=and
logistical ^jj+atrb+++=logistical
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
the ^ati++++=the
movement ^nn+nom+++=movement
of ^in++++=of
indigenous ^jj+atrb+++=indigenous
people ^nns++++=people
to ^in++++=to
urban ^jj+atrb+++=urban
centers ^nns+nom+++=centers
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
or ^cc++++=or
even ^rb++++=even
impossible ^jj++++=impossible,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
the ^ati++++=the
scarcity ^nn+nom+++=scarcity
or ^cc++++=or
even ^rb++++=even
lack ^nn++++=lack
of ^in++++=of
specialized ^jj+atrb++xvbn+=specialized
services ^nns++++=services
in ^in++++=in
the ^ati++++=the
vicinities ^nns+nom+++=vicinities
of ^in++++=of
indigenous ^jj+atrb+++=indigenous
villages ^nns+nom+++=villages,
, ^zz++++=EXTRAWORD
makes ^vbz++++=makes
prosthetic ^jj+atrb+++=prosthetic
rehabilitation ^nn+nom+++=rehabilitation
procedures ^nns++++=procedures
for ^in++++=for
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
population ^nn+nom+++=population
of ^in++++=of
the ^ati++++=the
Special ^jj+atrb+++=Special
Indigenous ^jj+atrb+++=Indigenous
Health ^nn++++=Health
District ^nn++++=District
Bahia ^np+++??+=Bahia
( ^zz++++=(or
or ^cc++++=EXTRAWORD
Dsei ^np+++??+=DSEI
Bahia ^np+++??+=Bahia)
) ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
non ^&fw++++=non-existent.
- ^zz++++=EXTRAWORD
existent ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
demand ^nn++++=demand
for ^in++++=for
prosthetic ^jj+atrb+++=prosthetic
services ^nns++++=services
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
is ^vbz+bez+vrb++=is
much ^ap++++=much
higher ^jjr++++=higher
than ^in++++=than
the ^ati++++=the
installed ^vbd+++xvbn+=installed
capacity ^nn+nom+++=capacity.
. ^zz++++=EXTRAWORD
