Considering ^vbg+++xvbg+=Considering
that ^tht+vcmp+++=that
this ^dt+dem+++=this
paper ^nn++++=paper
proposes ^vbz+vsua+++=proposes
an ^at++++=an
adaptation ^nn+nom+++=adaptation
for ^in++++=for
activities ^nns+nom+++=activities
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^vpsv++by+xvbnx+=used
by ^in++++=by
sixth ^od++++=sixth
grade ^nn++++=grade
blind ^jj+atrb+++=blind
students ^nns++++=students,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
first ^od++++=first
level ^nn++++=level
of ^in++++=of
this ^dt+dem+++=this
collection ^nn+nom+++=collection
is ^vbz+bez+aux++=is
presented ^vpsv++agls+xvbnx+=presented,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
textbook ^nn++++=textbook
way ^nn++++=Way
to ^in++++=to
english ^nn++++=English
for ^in++++=for
brazilian ^jj+atrb+++=Brazilian
learners ^nns+nom+++=Learners
6 ^zz++++=6
. ^zz++++=.
