First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
evidence ^nn+nom+++=evidence
contests ^nns++++=contests
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
friendship ^nn+nom+++=friendship
and ^cc++++=and
feelings ^nns+nom+++=feelings
of ^in++++=of
reciprocity ^nn+nom+++=reciprocity
are ^vb+ber+vrb++=are
not ^xnot++not++=not
important ^jj++++=important
in ^in++++=in
relationships ^nns+nom+++=relationships
between ^in++++=between
legislators ^nns++++=legislators
and ^cc++++=and
local ^jj+atrb+++=local
brokers ^nns+nom+++=brokers.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
2007 ^cd++++=2007
and ^cc++++=and
2012 ^cd++++=2012
waves ^nns++++=waves
of ^in++++=of
the ^ati++++=the
survey ^nn++++=survey,
, ^zz++++=EXTRAWORD
legislators ^nns++++=legislators
answers ^nns+nom+++=answers
do ^vb+do+vrb++=do
not ^xnot++not++=not
point ^nn++++=point
to ^in++++=to
the ^ati++++=the
predominance ^nn+nom+++=predominance
of ^in++++=of
one ^cd1++++=one
single ^jj+atrb+++=single
factor ^nn++++=factor
to ^to++++=to
explain ^vbi+vpub+++=explain
how ^wrb+who+whcl++=how
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
get ^vb++++=get
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns++++=councilors
support ^nn++++=support:
: ^zz++++=EXTRAWORD
personal ^jj++++=personal
and ^cc++++=and
family ^nn++++=family
relations ^nns+nom+++=relations
stand ^vb++++=stand
out ^rp+pl+++=out
( ^zz++++=(25.6%
25.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
main ^jjb+atrb+++=main
factor ^nn++++=factor
in ^in++++=in
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
32.4 ^cd++++=32.4%
% ^zz++++=EXTRAWORD
in ^in++++=in
2012 ^cd++++=2012),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
out ^rp+pl+++=out
public ^jj+atrb+++=public
works ^nns++++=works
in ^in++++=in
the ^ati++++=the
locality ^nn+nom+++=locality
( ^zz++++=(26.7%
26.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
in ^in++++=in
2007 ^cd++++=2007)
) ^zz++++=EXTRAWORD
or ^cc++++=or
channeling ^nn+nom+++=channeling
resources ^nns++++=resources
for ^in++++=for
the ^ati++++=the
region ^nn++++=region
( ^zz++++=(15.3%
15.3 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
in ^in++++=in
2012 ^cd++++=2012),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
party ^nn++++=party
relations ^nns+nom+++=relations
( ^zz++++=(14%
14 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
and ^cc++++=and
21 ^cd++++=21%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively)
) ^zz++++=EXTRAWORD
or ^cc++++=or
supporting ^vbg+++xvbg+=supporting
the ^ati++++=the
campaign ^nn++++=campaign
of ^in++++=of
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns++++=councilors
( ^zz++++=(11.6%
11.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
and ^cc++++=and
15.3% ^cd++++=15.3%).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
recent ^jj+atrb+++=recent
literature ^nn++++=literature
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
party ^nn++++=party
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scenario ^nn++++=scenario
shown ^vwbn+vprv+++=shown
by ^in++++=by
the ^ati++++=the
survey ^nn++++=survey
is ^vbz+bez+vrb++=is
more ^rbr++++=more
diverse ^jj+pred+++=diverse.
. ^zz++++=EXTRAWORD
