[ ^zz++++=[...]
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
with ^in++++=with
such ^abl++++=such
methodology ^nn++++=methodology,
, ^zz++++=EXTRAWORD
the ^ati++++=the
researchers ^nns+nom+++=researchers
got ^vbd+++xvbn+=got
closer ^rbr++++=closer
to ^in++++=to
the ^ati++++=the
narratives ^nns++++=narratives
of ^in++++=of
both ^abx++++=both
teachers ^nns+nom+++=teachers
and ^cc++++=and
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
strategy ^nn++++=strategy
of ^in++++=of
reformulating ^xvbg+++xvbg+=reformulating
and ^cc++++=and
building ^xvbg+++xvbg+=building
materials ^nns+nom+++=materials
or ^cc++++=or
didactic ^jj+atrb+++=didactic
resources ^nns++++=resources
that ^tht+rel+subj++=that
enable ^vb++++=enable
greater ^jjr+atrb+++=greater
inclusion ^nn++++=inclusion
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students
and ^cc++++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
make ^vbi++++=make
methodological ^jj+atrb+++=methodological
procedures ^nns++++=procedures
suitable ^jj++++=suitable
for ^in++++=for
curricular ^nn+++??+=curricular
contents ^nns++++=contents
available ^jj++++=available
to ^in++++=to
the ^ati++++=the
teacher ^nn++++=teacher
( ^zz++++=(FERREIRA;
ferreira ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
dickman ^np++++=DICKMAN,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
256 ^cd++++=256).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
