Anti ^np+++??+=Anti-inflammatory
- ^zz++++=EXTRAWORD
inflammatory ^jj+atrb+++=EXTRAWORD
dressings ^nns++++=dressings
include ^vb++++=include
absorbent ^jj+atrb+++=absorbent
polyurethane ^nn+++??+=polyurethane
foam ^nn++++=foam
containing ^vwbg+++xvbg+=containing
0.5 ^nn+++??+=0.5
mg ^nnu++++=mg/cm2
of ^in++++=of
Ibuprofen ^np+++??+=Ibuprofen
homogeneously ^jj++++=homogeneously
distributed ^jj+++xvbn+=distributed
throughout ^in++++=throughout
the ^ati++++=the
foam ^nn++++=foam
matrix ^nn++++=matrix
and ^cc++++=and
a ^at++++=a
cream ^nn++++=cream
with ^in++++=with
essential ^jj+atrb+++=essential
oils ^nns++++=oils.
. ^zz++++=EXTRAWORD
