According ^in+cmpx+++=According
to ^in"++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
formulations ^nns++++=formulations
manifest ^jj+atrb+++=manifest
three ^cd++++=three
essential ^jj+atrb+++=essential
properties ^nns++++=properties:
: ^zz++++=EXTRAWORD
preservation ^nn++++=preservation,
, ^zz++++=EXTRAWORD
deletion ^nn+++??+=deletion
and ^cc++++=and
transformation ^nn++++=transformation
of ^in++++=of
a ^at++++=a
prior ^jj+atrb+++=prior
utterance ^nn++++=utterance
or ^cc++++=or
utterances ^nns++++=utterances.
. ^zz++++=EXTRAWORD
