This ^dt+dem+++=This
device ^nn++++=device
makes ^vbz++++=makes
her ^pp$+pp3+++=her
version ^nn++++=version
weaker ^jjr++++=weaker
because ^cs+cos+++=because
of ^in++++=of
the ^ati++++=the
inconsistent ^jj+atrb+++=inconsistent
way ^nn++++=way
she ^pp3a+pp3+++=she
describes ^vbz++++=describes
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
actions ^nns++++=actions.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
says ^vbz+vpub+++=says
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
after ^cs+sub+++=after
two ^cd++++=two
o ^zz++++=o
clock ^nn++++=clock
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
putting ^vbg+++xvbgx+=putting
the ^ati++++=the
luggage ^nn++++=luggage
in ^in++++=in
the ^ati++++=the
car ^nn++++=car,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Martinez ^np+++??+=Martinez
asks ^vbz++++=asks
her ^pp$+pp3+++=her
again ^rb+tm+++=again:
: ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
surely ^rb++++=surely
after ^in++++=after
two ^cd++++=two
you. ^nn+++??+=you...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
what ^wdt+who+++=what
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
doing ^vbg+++xvbgx+=doing?
? ^zz++++=EXTRAWORD
, ^zz++++=,
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
totally ^rb+amp+++=totally
vague ^jj+pred+++=vague.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
observe ^vb+vprv+tht0++=observe
her ^pp$+pp3+++=her
hesitation ^nn++++=hesitation
by ^in++++=by
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
verbal ^jj+atrb+++=verbal
planning ^jj+atrb++xvbg+=planning
markers ^nns++++=markers
Uh ^uh++++=Uh
and ^cc++++=and
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
accompanied ^xvbn+++xvbn+=accompanied
by ^in++++=by
pauses ^nns+++??+=pauses
and ^cc++++=and
discourse ^nn++++=discourse
markers ^nns++++=markers
which ^whp+rel+obj++=which
show ^nn++++=show
uncertainty ^nn++++=uncertainty:
: ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
maybe ^rb+hdg+++=maybe
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
interesting ^jj+pred+++=interesting
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
prosecutor ^nn++++=prosecutor
s ^zz++++=s
wording ^nn++++=wording
is ^vbz+bez+vrb++=is
vague ^jj+pred+++=vague
as ^cs+sub+++=as
well ^rb++++=well:
: ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
did ^vbd+dod+vrb++=did
what ^wdt+who+++=what
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
doing ^vbg+++xvbgx+=doing
having ^vbg+hvg++xvbg+=having
sex ^nn++++=sex
or ^cc++++=or
putting ^vbg+++xvbg+=putting
the ^ati++++=the
luggage ^nn++++=luggage
in ^in++++=in
the ^ati++++=the
car ^nn++++=car?.
? ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
questions ^nns++++=questions
are ^vb+ber+vrb++=are
not ^xnot++not++=not
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
answers ^nns++++=answers
also ^rb++++=also
tend ^vb++++=tend
to ^to+vcmp+++=to
be ^vbi++vrb++=be
unclear ^nn+++??+=unclear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently
this ^dt+pdem+++=this
can ^md+pos+++=can
make ^vb++++=make
listeners ^nns++++=listeners
confused ^xvbn+++xvbn+=confused
because ^cs+cos+++=because
of ^in++++=of
the ^ati++++=the
impreciseness ^nns++++=impreciseness
of ^in++++=of
the ^ati++++=the
utterances ^nns++++=utterances.
. ^zz++++=EXTRAWORD
