Considering ^vbg+++xvbg+=Considering
this ^dt+dem+++=this
scenario ^nn++++=scenario,
, ^zz++++=EXTRAWORD
two ^cd++++=two
Brazilian ^jj+atrb+++=Brazilian
Higher ^jjr+atrb+++=Higher
Education ^nn++++=Education
professors ^nns++++=professors,
, ^zz++++=EXTRAWORD
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
Lace ^nn++++=LACE
Research ^nn++++=Research
Group ^nn++++=Group,
, ^zz++++=EXTRAWORD
joined ^j+++xvbn+=joined
the ^ati++++=the
Gpb ^np+++??+=GPB
as ^ql++++=as
Brigadiers ^np+++??+=Brigadiers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
decided ^vb+++xvbn+=decided
to ^to+vcmp+++=to
offer ^vbi++++=offer
a ^at++++=a
workshop ^nn++++=workshop
in ^in++++=in
which ^whp+rel+pied++=which
their ^pp$+pp3+++=their
college ^nn++++=college
students ^nns++++=students
could ^md+pos+++=could
practice ^vb++++=practice
some ^dti++++=some
English ^jj+atrb+++=English
language ^nn++++=language
skills ^nns++++=skills
and ^cc++++=and
talk ^nn++++=talk
to ^in++++=to
professionals ^nns++++=professionals
in ^in++++=in
other ^ap++++=other
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
participants ^nns++++=participants
were ^vbd+bed+aux++=were
also ^rb++splt++=also
invited ^vpsv++agls+xvbnx+=invited
to ^to++++=to
discover ^vbi+vprv+++=discover
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
could ^md+pos+++=could
do ^vb+do+vrb++=do
towards ^in++++=towards
global ^jj+atrb+++=global
collaboration ^nn++++=collaboration,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
mindful ^nn+++??+=mindful
of ^in++++=of
the ^ati++++=the
crisis ^nn++++=crisis
everyone ^pn++++=everyone
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
through ^in++++=through
simultaneously ^rb+cnj+++=simultaneously,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
feeling ^nvbg+++xvbg+=feeling
it ^pp3+it+++=it
differently ^rb+cnj+++=differently,
, ^zz++++=EXTRAWORD
at ^rb++++=at
that ^dt+dem+++=that
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
workshop ^nn++++=workshop
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
in ^in++++=in
July ^nr++++=July,
, ^zz++++=EXTRAWORD
gathering ^vbg+++xvbg+=gathering
around ^rp++++=around
fifteen ^cd++++=fifteen
participants ^nns++++=participants
on ^in++++=on
Zoom ^np+++??+=ZOOM,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
shared ^vbd+++xvbn+=shared
their ^pp$+pp3+++=their
personal ^jj+atrb+++=personal
and ^cc+phrs+++=and
professional ^jj+atrb+++=professional
experiences ^nns++++=experiences
while ^cs+sub+++=while
playing ^vbg+++xvbg+=playing
and ^cc+phrs+++=and
talking ^vbg+++xvbg+=talking
for ^in++++=for
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
