During ^in++++=During
a ^at++++=a
social ^jj+atrb+++=social
encounter ^nn++++=encounter,
, ^zz++++=EXTRAWORD
every ^at++++=every
speaker ^nn++++=speaker
intends ^vbz++++=intends
to ^to+vcmp+++=to
maintain ^vbi+vpub+++=maintain
face ^nn++++=face
so ^ql++++=so
the ^ati++++=the
interaction ^nn++++=interaction
develops ^vbz++++=develops
without ^in++++=without
big ^jj+atrb+++=big
problems ^nns++++=problems;
; ^zz++++=EXTRAWORD
the ^ati++++=the
individual ^nn++++=individual
focuses ^vbz++++=focuses
both ^abx++++=both
on ^in++++=on
preserving ^xvbg+++xvbg+=preserving
his ^pp$+pp3+++=his/her
own ^ap++++=own
face ^nn++++=face
and ^cc++++=and
on ^in++++=on
respecting ^in++++=respecting
the ^ati++++=the
other ^ap++++=other
s ^zz++++=s.
. ^zz++++=EXTRAWORD
To ^to++++=To
preserve ^vbi++++=preserve
negative ^jj+atrb+++=negative
face ^nn++++=face,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
protect ^vbi++++=protect
the ^ati++++=the
private ^jj+atrb+++=private
territory ^nn++++=territory,
, ^zz++++=EXTRAWORD
intimacy ^nn++++=intimacy.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
to ^to++++=to
preserve ^vbi++++=preserve
positive ^jj+atrb+++=positive
face ^nn++++=face,
, ^zz++++=EXTRAWORD
interlocutors ^nns+++??+=interlocutors
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
recognized ^vbd+vprv++xvbn+=recognized
and ^cc+phrs+++=and
valued ^vbd+++xvbn+=valued
by ^in++++=by
others ^aps++++=others.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
may ^md+pos+++=may
cause ^vb++++=cause
a ^at++++=a
conflict ^nn++++=conflict,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
their ^pp$+pp3+++=their
intention ^nn++++=intention
to ^to+ncmp+++=to
preserve ^vbi++++=preserve
negative ^jj+atrb+++=negative
face ^nn++++=face,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
come ^vb++++=come
up ^in+cmpx+++=up
against ^in"++++=against
the ^ati++++=the
intention ^nn++++=intention
of ^in++++=of
others ^aps++++=others
to ^to++++=to
preserve ^vbi++++=preserve
positive ^jj+atrb+++=positive
face ^nn++++=face.
. ^zz++++=EXTRAWORD
As ^in++++=As
argued ^nn++++=argued
by ^in++++=by
belch ^np++++=Belch
( ^zz++++=(1994,
1994 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
332 ^cd++++=332):
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
