As ^cs+sub+++=As
for ^in++++=for
the ^ati++++=the
families ^nns++++=families
with ^in++++=with
the ^ati++++=the
largest ^jjt+atrb+++=largest
number ^nn++++=number
of ^in++++=of
individuals ^nns++++=individuals
sampled ^nn+++??+=sampled,
, ^zz++++=EXTRAWORD
Urticaceae ^np+++??+=Urticaceae
stands ^vbz++++=stands
out ^rp+pl+++=out
with ^in++++=with
220 ^cd++++=220
individuals ^nns++++=individuals
( ^zz++++=(44.53%),
44.53% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
distributed ^xvbn+++xvbn+=distributed
in ^in++++=in
three ^cd++++=three
species ^nn++++=species,
, ^zz++++=EXTRAWORD
Cecropia ^np+++??+=Cecropia
glaziovii ^nn+++??+=glaziovii
Snethl ^np+++??+=Snethl.
. ^zz++++=EXTRAWORD
( ^zz++++=(127
127 ^cd++++=EXTRAWORD
individuals ^nns++++=individuals),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cecropia ^np+++??+=Cecropia
pachystachia ^nn+++??+=pachystachia
Tr ^nn++++=Tr
cul ^nn+++??+=cul.
. ^zz++++=EXTRAWORD
( ^zz++++=(91
91 ^cd++++=EXTRAWORD
individuals ^nns++++=individuals)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Urera ^np+++??+=Urera
baccifera ^nn+++??+=baccifera
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Gaudich ^np+++??+=Gaudich.
. ^zz++++=EXTRAWORD
ex ^jjb++++=ex
Wedd ^np+++??+=Wedd.
. ^zz++++=EXTRAWORD
( ^zz++++=(two
two ^cd++++=EXTRAWORD
individuals ^nns++++=individuals),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Cannabaceae ^np+++??+=Cannabaceae,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
presented ^vbd+++xvbn+=presented
97 ^cd++++=97
individuals ^nns++++=individuals
( ^zz++++=(19.64%),
19.64% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
belonging ^vbg+++xvbg+=belonging
to ^in++++=to
Celtis ^np+++??+=Celtis
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
( ^zz++++=(50
50 ^cd++++=EXTRAWORD
individuals ^nns++++=individuals)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Trema ^&fw++++=Trema
micrantha ^nn+++??+=micrantha
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Blume ^np+++??+=Blume.
. ^zz++++=EXTRAWORD
( ^zz++++=(47
47 ^cd++++=EXTRAWORD
individuals ^nns++++=individuals).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Solanaceae ^np+++??+=Solanaceae
is ^vbz+bez+vrb++=is
the ^ati++++=the
third ^nn++++=third
in ^in++++=in
number ^nn++++=number
of ^in++++=of
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
with ^in++++=with
66 ^cd++++=66
individuals ^nns++++=individuals
( ^zz++++=(13.36%),
13.36% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
belonging ^vbg+++xvbg+=belonging
to ^in++++=to
Solanum ^np+++??+=Solanum
americanum ^nn+++??+=americanum
Mill ^nn++++=Mill.
. ^zz++++=EXTRAWORD
( ^zz++++=(47
47 ^cd++++=EXTRAWORD
individuals ^nns++++=individuals),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Solanum ^np+++??+=Solanum
lycocarpum ^nn+++??+=lycocarpum
A ^at++++=A.
. ^zz++++=EXTRAWORD
St ^npt++++=St-Hil.
- ^zz++++=EXTRAWORD
hil ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
( ^zz++++=(nine
nine ^cd++++=EXTRAWORD
individuals ^nns++++=individuals),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Solanum ^np+++??+=Solanum
mauritianum ^nn+++??+=mauritianum
Scop ^np+++??+=Scop.
. ^zz++++=EXTRAWORD
( ^zz++++=(seven
seven ^cd++++=EXTRAWORD
individuals ^nns++++=individuals),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Capsicum ^np+++??+=Capsicum
baccatum ^nn+++??+=baccatum
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
praetermissum ^nn+++??+=praetermissum
( ^zz++++=(Heiser
heiser ^nn+++??+=EXTRAWORD
& ^zz++++=&
P ^zz++++=P.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith)
) ^zz++++=EXTRAWORD
Hunz ^np+++??+=Hunz.
. ^zz++++=EXTRAWORD
( ^zz++++=(two
two ^cd++++=EXTRAWORD
individuals ^nns++++=individuals)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Nicandra ^np+++??+=Nicandra
physalodes ^nns+++??+=physalodes
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Gaertn ^np+++??+=Gaertn.
. ^zz++++=EXTRAWORD
( ^zz++++=(one
one ^cd1++++=EXTRAWORD
individual ^jj++++=individual).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
From ^in++++=From
these ^dt+dem+++=these
data ^nns++++=data,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
observe ^vbi+vprv+++=observe
that ^tht+vcmp+++=that
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
individuals ^nns++++=individuals
obtained ^vwbn+++xvbn+=obtained
correspond ^vb++++=correspond
to ^in++++=to
pioneer ^nn++++=pioneer
species ^nn++++=species,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
in ^in++++=in
a ^at++++=a
possible ^jj+atrb+++=possible
transposition ^nn++++=transposition
of ^in++++=of
soil ^nn++++=soil
for ^in++++=for
ecological ^nn+++??+=ecological
restoration ^nn++++=restoration
these ^dt+dem+++=these
individuals ^nns++++=individuals
could ^md+pos+++=could
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
recovery ^nn++++=recovery
of ^in++++=of
the ^ati++++=the
area ^nn++++=area,
, ^zz++++=EXTRAWORD
promoting ^vbg+++xvbg+=promoting
soil ^nn++++=soil
cover ^nn++++=cover
and ^cc++++=and
favoring ^nn+++??+=favoring
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
development ^nn++++=development
propagules ^nns++++=propagules
of ^in++++=of
non ^&fw++++=non-pioneer
- ^zz++++=EXTRAWORD
pioneer ^nn++++=EXTRAWORD
species ^nn++++=species.
. ^zz++++=EXTRAWORD
