To ^in++++=To
control ^nn++++=control
for ^in++++=for
urban ^jj+atrb+++=urban
infrastructure ^nn+++??+=infrastructure,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
calculate ^vb++++=calculate
the ^ati++++=the
minimum ^nn++++=minimum
Euclidian ^np+++??+=Euclidian
distance ^nn++++=distance
from ^in++++=from
each ^dt++++=each
property ^nn++++=property
to ^in++++=to
transportation ^nn++++=transportation
sites ^nns++++=sites
( ^zz++++=(train
train ^nn++++=EXTRAWORD
and ^cc++++=and
subway ^nn++++=subway
stations ^nns++++=stations,
, ^zz++++=EXTRAWORD
main ^jjb+atrb+++=main
avenues ^nns++++=avenues,
, ^zz++++=EXTRAWORD
bus ^nn++++=bus
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
highway ^nn++++=highway
roads ^nns++++=roads)
) ^zz++++=EXTRAWORD
and ^cc++++=and
amenities ^nns++++=amenities
variables ^nns++++=variables
( ^zz++++=(urban
urban ^jj+atrb+++=EXTRAWORD
parks ^nns++++=parks,
, ^zz++++=EXTRAWORD
libraries ^nns++++=libraries,
, ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=cultural
centers ^nns+++??+=centers,
, ^zz++++=EXTRAWORD
art ^nn++++=art
galleries ^nns++++=galleries,
, ^zz++++=EXTRAWORD
theaters ^nns+++??+=theaters,
, ^zz++++=EXTRAWORD
concert ^nn++++=concert
halls ^nns++++=halls,
, ^zz++++=EXTRAWORD
theater ^nn+++??+=theater
movies ^nns++++=movies,
, ^zz++++=EXTRAWORD
malls ^nns+++??+=malls,
, ^zz++++=EXTRAWORD
race ^nn++++=race
stadium ^npl++++=stadium,
, ^zz++++=EXTRAWORD
resorts ^nns++++=resorts,
, ^zz++++=EXTRAWORD
sports ^nns++++=sports
centers ^nns+++??+=centers,
, ^zz++++=EXTRAWORD
clubs ^nns++++=clubs,
, ^zz++++=EXTRAWORD
courts ^nns++++=courts,
, ^zz++++=EXTRAWORD
soccer ^nn++++=soccer
stadiums ^nns+++??+=stadiums,
, ^zz++++=EXTRAWORD
elementary ^jj+atrb+++=elementary
school ^nn++++=school,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
high ^jj+atrb+++=high
school ^nn++++=school,
, ^zz++++=EXTRAWORD
hospitals ^nns++++=hospitals,
, ^zz++++=EXTRAWORD
health ^nn++++=health
centers ^nns++++=centers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
favelas ^nns++++=favelas).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
