high ^jj+atrb+++=high
values ^nns++++=values
for ^in++++=for
Iii_iv ^np+++??+=III_IV,
, ^zz++++=EXTRAWORD
Hd_d ^np+++??+=Hd_d,
, ^zz++++=EXTRAWORD
Bd_w ^np+++??+=Bd_w,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
Hv_b ^np+++??+=Hv_b,
, ^zz++++=EXTRAWORD
Hd_a ^np+++??+=Hd_a,
, ^zz++++=EXTRAWORD
Bv_x ^np+++??+=Bv_x,
, ^zz++++=EXTRAWORD
Hv_a ^np+++??+=Hv_a,
, ^zz++++=EXTRAWORD
Hv_d ^np+++??+=Hv_d
and ^cc++++=and
hd_b ^np++++=Hd_b
( ^zz++++=(variables
variables ^nns++++=EXTRAWORD
are ^vb+ber+aux++=are
sorted ^vbd+++xvbn+=sorted
from ^in++++=from
the ^ati++++=the
strongest ^jjt++++=strongest).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
