Biodiversity ^np+++??+=Biodiversity,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
conservation ^nn+++??+=conservation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
responsible ^jj+atrb+++=responsible
use ^nn++++=use
occupy ^vb++++=occupy
a ^at++++=a
central ^jj+atrb+++=central
space ^nn++++=space
in ^in++++=in
current ^jj+atrb+++=current
debates ^nns++++=debates
on ^in++++=on
politics ^nn++++=politics,
, ^zz++++=EXTRAWORD
science ^nn++++=science,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
economics ^nn++++=economics.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
Summit ^nn++++=Summit,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
in ^in++++=in
1992 ^cd+date+++=1992,
, ^zz++++=EXTRAWORD
a ^at++++=a
discussion ^nn++++=discussion
area ^nn++++=area
was ^vbd+bedz+aux++=was
dedicated ^vpsv++agls+xvbnx+=dedicated
to ^in++++=to
the ^ati++++=the
problems ^nns++++=problems
of ^in++++=of
the ^ati++++=the
planet ^nn++++=planet's
's ^$++++=EXTRAWORD
survival ^nn++++=survival,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
the ^ati++++=the
signing ^nn++++=signing
of ^in++++=of
the ^ati++++=the
convention ^nn++++=Convention
on ^in++++=on
biological ^jj+atrb+++=Biological
diversity ^nn++++=Diversity.
. ^zz++++=EXTRAWORD
