Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
job ^nn++++=job
losses ^nns++++=losses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
impacts ^nns+++??+=impacts
were ^vbd+bed+vrb++=were
severe ^jj+pred+++=severe.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
the ^ati++++=the
quarters ^nns++++=quarters
from ^in++++=from
January ^nr++++=January
to ^in++++=to
March ^nr++++=March
and ^cc++++=and
April ^nr++++=April
to ^in++++=to
June ^nr++++=June
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
drop ^nn++++=drop
of ^in++++=of
8.9 ^cd++++=8.9
million ^cd++++=million
or ^cc++++=or
9.6 ^cd++++=9.6%
% ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
employed ^jj+atrb++xvbn+=employed
population ^nn++++=population,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
historical ^jj+atrb+++=historical
series ^nn++++=series
( ^zz++++=(IBGE/PNADC,
ibge ^nn+++??+=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
employed ^jj+atrb++xvbn+=employed
population ^nn++++=population
of ^in++++=of
84.4 ^cd++++=84.4
million ^cd++++=million,
, ^zz++++=EXTRAWORD
15.7 ^cd++++=15.7
million ^cd++++=million
or ^cc++++=or
18.6 ^cd+date+++=18.6%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
away ^rp+pl+++=away
from ^in++++=from
work ^nn++++=work
due ^jj++++=due
to ^in+jcmp+++=to
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing;
; ^zz++++=EXTRAWORD
in ^in++++=in
June ^nr++++=June,
, ^zz++++=EXTRAWORD
the ^ati++++=the
figure ^nn++++=figure
was ^vbd+bedz+vrb++=was
11.8 ^cd++++=11.8
million ^cd++++=million
( ^zz++++=(14.2%),
14.2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
July ^nr++++=July,
, ^zz++++=EXTRAWORD
6.8 ^cd++++=6.8
million ^cd++++=million
( ^zz++++=(8.3%)
8.3 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
August ^nr++++=August,
, ^zz++++=EXTRAWORD
4.1 ^cd++++=4.1
million ^cd++++=million,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
5.0 ^cd++++=5.0%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
employed ^xvbn+++xvbn+=employed
persons ^nns++++=persons.
. ^zz++++=EXTRAWORD
