This ^dt+dem+++=This
article ^nn++++=article
intends ^vbz++++=intends
to ^to+vcmp+++=to
reflect ^vbi+vprv+++=reflect
on ^in++++=on
the ^ati++++=the
connections ^nns++++=connections
between ^in++++=between
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
biodiversity ^nn+++??+=biodiversity
and ^cc++++=and
its ^pp$+it+++=its
possibilities ^nns++++=possibilities
of ^in++++=of
insertion ^nn++++=insertion
in ^in++++=in
the ^ati++++=the
bioeconomy ^nn+++??+=bioeconomy,
, ^zz++++=EXTRAWORD
without ^in++++=without
violating ^nn++++=violating
the ^ati++++=the
cultural ^jj+atrb+++=cultural
practices ^nns++++=practices
of ^in++++=of
ancestral ^jj+atrb+++=ancestral
peoples ^nns++++=peoples.
. ^zz++++=EXTRAWORD
