Identification ^nn++++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
resembles ^vbz++++=resembles
L ^zz++++=L.
. ^zz++++=EXTRAWORD
lilacinum ^nn+++??+=lilacinum
but ^cc++++=but
differs ^vbz++++=differs
in ^in++++=in
the ^ati++++=the
color ^nn+++??+=color
of ^in++++=of
the ^ati++++=the
gleba ^nn+++??+=gleba
and ^cc++++=and
the ^ati++++=the
very ^ql+amp+++=very
fragile ^jj+atrb+++=fragile
peridium ^nn++++=peridium
( ^zz++++=(Spegazzini
spegazzini ^nn++++=EXTRAWORD
1884 ^cd+date+++=1884).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
