According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
administration ^nn++++=administration
of ^in++++=of
the ^ati++++=the
Guarni ^np+++??+=Guarni
o ^zz++++=o
da ^np++++=da
Aeron ^np+++??+=Aeron
utica ^nn+++??+=utica
de ^&fw++++=de
Pirassununga ^np+++??+=Pirassununga,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
areas ^nns++++=areas
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
Mogi ^np+++??+=Mogi
Gua ^np+++??+=Gua
u ^zz++++=u
River ^npl++++=River
in ^in++++=in
the ^ati++++=the
Pirassununga ^np+++??+=Pirassununga
Municipality ^nn++++=Municipality
that ^tht+rel+++=that
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
restored ^vbd+++xvbn+=restored
( ^zz++++=(S.M.
s.m ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Barroso ^np+++??+=Barroso,
, ^zz++++=EXTRAWORD
personal ^jj+atrb+++=personal
communication ^nn++++=communication).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
compared ^vbd+++xvbn+=compared
the ^ati++++=the
species ^nns++++=species
cataloged ^nn+++??+=cataloged
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
with ^in++++=with
the ^ati++++=the
List ^nn++++=List
of ^in++++=of
Species ^nns++++=Species
Specified ^vbd+vsua++xvbn+=Specified
for ^in++++=for
Ecological ^np+++??+=Ecological
Restoration ^nn++++=Restoration
for ^in++++=for
Various ^jj+atrb+++=Various
Regions ^nns++++=Regions
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
( ^zz++++=(Barbosa
barbosa ^nn+++??+=EXTRAWORD
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
and ^cc++++=and
18 ^cd++++=18
of ^in++++=of
the ^ati++++=the
species ^nn++++=species
here ^rn+pl+++=here
reported ^vbd+vpub++xvbn+=reported
are ^vb+ber+aux++=are
indicated ^vpsv++agls+xvbnx+=indicated
for ^in++++=for
ecological ^nn+++??+=ecological
restoration ^nn++++=restoration.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
the ^ati++++=the
studied ^jj+atrb++xvbn+=studied
fragment ^nn++++=fragment
may ^md+pos+++=may
come ^vprf+++xvbn+=come
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
a ^at++++=a
source ^nn++++=source
of ^in++++=of
propagules ^nns+++??+=propagules
for ^in++++=for
degraded ^jj+atrb+++=degraded
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+vrb++=be
either ^dtx++++=either
by ^in++++=by
marking ^xvbg+++xvbg+=marking
seed ^nn++++=seed
trees ^nns++++=trees
for ^in++++=for
collecting ^xvbg+++xvbg+=collecting
seeds ^nns++++=seeds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
by ^in++++=by
creating ^xvbg+++xvbg+=creating
seedlings ^nns++++=seedlings,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
by ^in++++=by
transposing ^xvbg+++xvbg+=transposing
soil ^nn++++=soil
and ^cc++++=and
or ^cc++++=or
litter ^nn++++=litter
( ^zz++++=(Brancalion
brancalion ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
