Facing ^vbg+++xvbg+=Facing
the ^ati++++=the
empirical ^jj+atrb+++=empirical
literature ^nn++++=literature
on ^in++++=on
the ^ati++++=the
relative ^jj+atrb+++=relative
effectiveness ^nn++++=effectiveness
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
orthodox ^jj+atrb+++=orthodox
models ^nns++++=models
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
theoretically ^rb++splt++=theoretically
explain ^vbi+vpub+++=explain
why ^wrb+who+whcl++=why
some ^dti++++=some
controls ^vbz++++=controls
reached ^vprf+++xvbn+=reached
their ^pp$+pp3+++=their
aims ^nns++++=aims
more ^rbr++++=more
frequently ^rb++++=frequently
than ^in++++=than
others ^aps++++=others
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
studies ^nns++++=studies
to ^in++++=to
formalize ^nn+++??+=formalize
this ^dt+dem+++=this
new ^jj+atrb+++=new
economics ^nn++++=economics
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls
was ^vbd+bedz+vrb++=was
by ^in++++=by
Magud ^np+++??+=Magud
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011).
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
first ^od++++=first
assume ^vb+vprv+++=assume
that ^tht+vcmp+++=that
countries ^nns++++=countries
impose ^vb++++=impose
capital ^nn++++=capital
controls ^nns++++=controls
to ^to++++=to
reach ^vbi++++=reach
four ^cd++++=four
goals ^nns++++=goals:
: ^zz++++=EXTRAWORD
reduce ^vb++++=reduce
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
capital ^nn++++=capital
inflows ^nns++++=inflows
( ^zz++++=(hot
hot ^jj+atrb+++=EXTRAWORD
money ^nn++++=money);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
reduce ^vb++++=reduce
the ^ati++++=the
large ^jj+atrb+++=large
magnitude ^nn++++=magnitude
in ^in++++=in
capital ^nn++++=capital
inflows ^nns++++=inflows,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
bring ^vb++++=bring
financial ^jj+atrb+++=financial
risks ^nns++++=risks;
; ^zz++++=EXTRAWORD
smooth ^jj++++=smooth
the ^ati++++=the
pressure ^nn++++=pressure
of ^in++++=of
exchange ^nn++++=exchange
rate ^nn++++=rate
appreciation ^nn++++=appreciation;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increase ^nn++++=increase
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy.
. ^zz++++=EXTRAWORD
Capital ^nn++++=Capital
controls ^nns++++=controls
can ^md+pos+++=can
be ^vb+be+vrb++=be
efficient ^jj+pred+++=efficient
in ^in++++=in
reducing ^xvbg+++xvbg+=reducing
the ^ati++++=the
volume ^nn++++=volume
of ^in++++=of
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
debt ^nn++++=debt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
stretch ^vb++++=stretch
the ^ati++++=the
maturity ^nn++++=maturity
of ^in++++=of
external ^jj+atrb+++=external
liabilities ^nns++++=liabilities,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
increasing ^jj+atrb++xvbg+=increasing
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy
if ^cs+cnd+++=if
the ^ati++++=the
elasticity ^nn++++=elasticity
of ^in++++=of
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
inflows ^nns++++=inflows
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
external ^jj+atrb+++=external
liabilities ^nns++++=liabilities
is ^vbz+bez+vrb++=is
above ^in+pl+++=above
one ^pn++++=one.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
the ^ati++++=the
imposition ^nn++++=imposition
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls
would ^md+prd+++=would
lead ^vb++++=lead
to ^in++++=to
a ^at++++=a
relative ^jj+atrb+++=relative
reduction ^nn++++=reduction
in ^in++++=in
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
inflows ^nns++++=inflows
compared ^vbd+++xvbn+=compared
to ^in++++=to
total ^jj+atrb+++=total
external ^jj+atrb+++=external
liabilities ^nns++++=liabilities.
. ^zz++++=EXTRAWORD
An ^at++++=An
increase ^nn++++=increase
in ^in++++=in
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy
would ^md+prd+++=would
also ^rb++splt++=also
characterize ^vb++++=characterize
this ^dt+dem+++=this
scenario ^nn++++=scenario
since ^cs+sub+++=since
the ^ati++++=the
controls ^nns++++=controls
would ^md+prd+++=would
create ^vb++++=create
a ^at++++=a
wedge ^nn++++=wedge
in ^in++++=in
the ^ati++++=the
interest ^nn++++=interest
rate ^nn++++=rate
differential ^nn++++=differential
between ^in++++=between
external ^jj++++=external
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
and ^cc++++=and
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
liabilities ^nns++++=liabilities
( ^zz++++=(Magud
magud ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
