b ^zz++++=b)
) ^zz++++=EXTRAWORD
Positive ^jj+atrb+++=Positive
face ^nn++++=face:
: ^zz++++=EXTRAWORD
the ^ati++++=the
want ^nn++++=want
of ^in++++=of
every ^at++++=every
member ^nn++++=member
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
wants ^nns++++=wants
be ^vb+be+vrb++=be
desirable ^jj+pred+++=desirable
to ^to+jcmp+++=to
at ^rb++++=at
least ^ql++++=least
some ^dti++++=some
others ^aps++++=others
( ^zz++++=(Brown
brown ^jj+atrb+++=EXTRAWORD
& ^zz++++=&
levinson ^np++++=Levinson,
, ^zz++++=EXTRAWORD
1987 ^cd+date+++=1987,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
62 ^cd++++=62).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
