Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
To ^to++++=To
describe ^vbi++++=describe
authorship ^nn++++=authorship
concentration ^nn++++=concentration
indexes ^nns+++??+=indexes
( ^zz++++=(proportion
proportion ^nn++++=EXTRAWORD
of ^in++++=of
articles ^nns++++=articles
by ^in++++=by
the ^ati++++=the
most ^ql+emph+++=most
prolific ^jj+atrb+++=prolific
author ^nn++++=author
[ ^zz++++=[PPMP];
ppmp ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Gini ^np+++??+=Gini
coefficient ^nn++++=coefficient)
) ^zz++++=EXTRAWORD
among ^in++++=among
health ^nn++++=health
sciences ^nns++++=sciences
journals ^nns++++=journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
Lilacs ^np+++??+=LILACS,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
compare ^vbi++++=compare
them ^pp3o+pp3+++=them
to ^to++++=to
what ^wdt+who+++=what
a ^at++++=a
previous ^nn++++=previous
study ^vb++++=study
found ^vpsv++agls+xvbn+=found
in ^in++++=in
medline ^np++++=MEDLINE.
. ^zz++++=EXTRAWORD
