Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
capital ^nn++++=capital
controls ^nns++++=controls
were ^vbd+bed+vrb++=were
relatively ^rb++++=relatively
more ^rbr++++=more
efficient ^jj++++=efficient
in ^in++++=in
increasing ^xvbg+++xvbg+=increasing
the ^ati++++=the
maturity ^nn++++=maturity
of ^in++++=of
external ^jj+atrb+++=external
liabilities ^nns++++=liabilities
and ^cc++++=and
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
up ^rp++++=up
to ^in++++=to
global ^jj+atrb+++=global
financial ^jj+atrb+++=financial
crisis ^nn++++=crisis
in ^in++++=in
2007 ^cd++++=2007-2008.
- ^zz++++=EXTRAWORD
2008 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
capital ^nn++++=capital
controls ^vbz++++=controls
imposed ^vbd+++xvbn+=imposed
in ^in++++=in
the ^ati++++=the
post ^nn++++=post-crisis
- ^zz++++=EXTRAWORD
crisis ^nn++++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
characterized ^nn+++??+=characterized
by ^in++++=by
global ^jj+atrb+++=global
low ^jj+atrb+++=low
interest ^nn++++=interest
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
less ^rbr++++=less
effective ^jj+pred+++=effective
and ^cc++++=and
had ^vb+hv+vrb++=had
stronger ^jjr+atrb+++=stronger
spillover ^nn+++??+=spillover
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
results ^nns++++=results
in ^in++++=in
Pasricha ^np+++??+=Pasricha
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Forbes ^np++++=Forbes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
model ^nn++++=model
by ^in++++=by
korinek ^np++++=Korinek
( ^zz++++=(2012).
2012 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
