Considering ^vbg+++xvbg+=Considering
the ^ati++++=the
activities ^nns++++=activities
sectors ^nns++++=sectors
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
Ibge ^np+++??+=IBGE,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
focus ^nn++++=focus
on ^in++++=on
activities ^nns++++=activities
concentration ^nn++++=concentration
in ^in++++=in
each ^ppls++++=each
Sbd ^np+++??+=SBD.
. ^zz++++=EXTRAWORD
In ^in++++=In
general ^jj++++=general,
, ^zz++++=EXTRAWORD
Sbds ^np+++??+=SBDs
are ^vb+ber+aux++=are
concentrated ^vpsv++agls+xvbnx+=concentrated
on ^in++++=on
service ^nn++++=service
activities ^nns++++=activities.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
7 ^zz++++=7
shows ^nns++++=shows
the ^ati++++=the
highest ^jjt+atrb+++=highest
concentrations ^nns++++=concentrations
of ^in++++=of
employment ^nn++++=employment
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
construction ^nn++++=construction
( ^zz++++=(Campo
campo ^nn+++??+=EXTRAWORD
Belo ^np+++??+=Belo),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
credit ^nn++++=credit
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
insurance ^nn++++=insurance
and ^cc++++=and
capitalization ^nn++++=capitalization
( ^zz++++=(Itaim
itaim ^nn+++??+=EXTRAWORD
Bibi ^np+++??+=Bibi),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
management ^nn++++=management
and ^cc++++=and
administration ^nn++++=administration,
, ^zz++++=EXTRAWORD
real ^jj+atrb+++=real
estate ^nn++++=estate,
, ^zz++++=EXTRAWORD
securities ^nns++++=securities,
, ^zz++++=EXTRAWORD
technical ^jj+atrb+++=technical
service ^nn++++=service
( ^zz++++=(Vila
vila ^np++++=EXTRAWORD
Mariana ^np+++??+=Mariana,
, ^zz++++=EXTRAWORD
Santa ^&fw++++=Santa
Cecilia ^np+++??+=Cecilia,
, ^zz++++=EXTRAWORD
Pinheiros ^np+++??+=Pinheiros),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
medical ^jj++++=medical,
, ^zz++++=EXTRAWORD
dental ^jj++++=dental,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
veterinary ^jj+atrb+++=veterinary
services ^nns++++=services
( ^zz++++=(Jardim
jardim ^nn+++??+=EXTRAWORD
Paulista ^np+++??+=Paulista).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bel ^np+++??+=Bel
m ^zz++++=m
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^rb+down+++=only
one ^pn++++=one
to ^in++++=to
have ^vbi++vrb++=have
the ^ati++++=the
highest ^jjt+atrb+++=highest
concentration ^nn++++=concentration
of ^in++++=of
employees ^nns++++=employees
in ^in++++=in
the ^ati++++=the
manufacturing ^nn++++=manufacturing
activities ^nns++++=activities.
. ^zz++++=EXTRAWORD
