This ^dt+dem+++=This
unequal ^jj+atrb+++=unequal
ability ^nn++++=ability
to ^to+ncmp+++=to
work ^vb++++=work
from ^in++++=from
home ^nr++++=home
in ^in++++=in
different ^jj+atrb+++=different
types ^nns++++=types
of ^in++++=of
work ^nn++++=work,
, ^zz++++=EXTRAWORD
position ^nn++++=position,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
function ^nn++++=function
raises ^vbz++++=raises
concerns ^nns++++=concerns
about ^in++++=about
inequality ^nn++++=inequality,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
systematic ^jj+atrb+++=systematic
difference ^nn++++=difference
between ^in++++=between
these ^dt+dem+++=these
categories ^nns++++=categories
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
representativeness ^nns+++??+=representativeness
of ^in++++=of
socially ^rb++++=socially
vulnerable ^jj+atrb+++=vulnerable
groups ^nns++++=groups
of ^in++++=of
workers ^nns++++=workers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evidence ^nn++++=evidence
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1
preliminarily ^nn+++??+=preliminarily
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
workers ^nns++++=workers
faced ^vwbn+++xvbn+=faced
the ^ati++++=the
difficult ^jj+atrb+++=difficult
decision ^nn++++=decision
about ^in++++=about
employment ^nn++++=employment
versus ^in++++=versus
health ^nn++++=health
risks ^nns++++=risks
while ^cs+sub+++=while
higher ^jjr++++=higher-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
workers ^nns++++=workers
were ^vbd+bed+vrb++=were
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
choose ^vb++++=choose
remote ^jj+atrb+++=remote
work ^nn++++=work.
. ^zz++++=EXTRAWORD
To ^in++++=To
further ^jjb++++=further
explore ^vb++++=explore
this ^dt+dem+++=this
result ^nn++++=result,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
present ^jj+atrb+++=present
Figure ^nn++++=Figure
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
the ^ati++++=the
share ^nn++++=share
of ^in++++=of
remote ^jj+atrb+++=remote
work ^nn++++=work
by ^in++++=by
location ^nn++++=location
in ^in++++=in
the ^ati++++=the
earnings ^nns++++=earnings
distribution ^nn++++=distribution.
. ^zz++++=EXTRAWORD
