Based ^xvbn+++xvbn+=Based
on ^in++++=on
a ^at++++=a
textual ^jj++++=textual-interactive
- ^zz++++=EXTRAWORD
interactive ^nn+++??+=EXTRAWORD
approach ^nn++++=approach
to ^in++++=to
the ^ati++++=the
spoken ^jj+atrb++xvbn+=spoken
language ^nn++++=language,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
lies ^vbz++++=lies
at ^rb++++=at
the ^ati++++=the
interface ^nn+++??+=interface
between ^in++++=between
conversation ^nn++++=conversation
analysis ^nn++++=analysis
and ^cc++++=and
forensic ^jj+atrb+++=forensic
linguistics ^nn++++=linguistics.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
same ^ap++++=same
vein ^nn++++=vein,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
above ^jjb++++=above
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
to ^to++++=to
encourage ^vbi++++=encourage
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
further ^jjb+atrb+++=further
analyses ^nns++++=analyses
and ^cc++++=and
reflections ^vb++++=reflections
that ^tht+vcmp+obj++=that
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
studies ^nns++++=studies
concerning ^in++++=concerning
spoken ^jj+atrb+++=spoken
texts ^nns++++=texts
in ^in++++=in
forensic ^jj+atrb+++=forensic
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
